# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 1.0722 0.5030 0 0.0000 12.042 -12.29 0.09 0.00 0.00 0.00
1 0.7774 0.4019 0 0.0000 12.041 -12.29 0.09 -0.00 -0.00 0.00
2 0.8185 0.5211 0 0.0000 12.033 -12.28 0.09 -0.00 -0.00 0.00
3 0.7768 0.4574 0 0.0000 12.013 -12.26 0.09 0.00 -0.00 0.00
4 0.6863 0.4380 0 0.0000 11.979 -12.22 0.09 -0.00 -0.00 0.00
5 0.2595 0.3148 0 0.0000 11.931 -12.18 0.09 0.00 -0.00 0.00
6 0.0767 0.2600 0 0.0000 11.874 -12.12 0.09 0.00 -0.00 0.00
7 -0.6616 0.1251 0 0.0000 11.810 -12.05 0.09 0.00 0.00 0.00
8 -0.7386 0.0809 0 0.0000 11.745 -11.99 0.09 0.00 0.00 0.00
9 -0.6222 0.0908 0 0.0000 11.680 -11.92 0.09 0.00 0.00 0.00
10 -0.6710 0.1025 0 0.0000 11.611 -11.85 0.09 0.00 0.00 0.00
11 -1.3773 -0.0248 0 0.0000 11.538 -11.78 0.09 0.00 0.00 0.00
12 -1.6587 -0.0864 0 0.0000 11.463 -11.71 0.08 0.00 0.00 0.00
13 -1.7745 -0.0830 0 0.0000 11.389 -11.63 0.08 0.00 0.00 0.00
14 -1.8171 -0.0554 0 0.0000 11.314 -11.56 0.07 0.00 0.00 0.00
15 -2.1044 -0.1539 0 0.0000 11.238 -11.48 0.07 0.00 0.00 0.00
16 -2.1953 -0.1662 0 0.0000 11.162 -11.40 0.06 0.00 0.00 0.00
17 -2.3699 -0.1913 0 0.0000 11.087 -11.33 0.06 0.00 0.00 0.00
18 -2.4134 -0.2354 0 0.0000 11.010 -11.25 0.05 0.01 0.00 0.00
19 -2.4112 -0.2739 0 0.0000 10.929 -11.17 0.05 0.01 0.00 0.00
20 -2.3866 -0.3848 0 0.0000 10.845 -11.09 0.04 0.01 0.00 0.01
21 -2.3105 -0.4125 0 0.0000 10.758 -11.00 0.04 0.01 0.00 0.00
22 -2.1850 -0.4461 0 0.0000 10.670 -10.91 0.03 0.01 0.01 0.00
23 -2.0182 -0.4098 0 0.0000 10.579 -10.82 0.03 0.01 0.01 0.00
24 -1.9460 -0.4278 0 0.0000 10.487 -10.73 0.03 0.01 0.01 0.00
25 -1.7713 -0.4350 0 0.0000 10.394 -10.63 0.03 0.01 0.01 0.00
26 -1.6892 -0.4697 0 0.0000 10.301 -10.54 0.03 0.01 0.01 0.00
27 -1.6065 -0.4913 0 0.0000 10.210 -10.45 0.03 0.01 0.01 0.00
28 -1.6030 -0.5351 0 0.0000 10.119 -10.36 0.03 0.01 0.01 0.00
29 -1.5160 -0.5479 0 0.0000 10.027 -10.26 0.02 0.01 0.01 0.00
30 -1.2566 -0.5164 0 0.0000 9.934 -10.17 0.02 0.01 0.01 0.00
31 -1.0006 -0.4713 0 0.0000 9.843 -10.08 0.02 0.00 0.01 0.00
32 -0.9034 -0.5154 0 0.0000 9.754 -9.99 0.02 0.01 0.01 0.00
33 -0.9040 -0.5597 0 0.0000 9.667 -9.90 0.02 0.01 0.01 0.00
34 -0.7114 -0.4923 0 0.0000 9.579 -9.81 0.02 0.00 0.01 0.00
35 -0.5651 -0.4645 0 0.0000 9.491 -9.73 0.02 0.01 0.01 0.00
36 -0.2170 -0.5114 0 0.0000 9.403 -9.64 0.02 0.01 0.01 0.00
37 -0.3243 -0.5355 0 0.0000 9.319 -9.55 0.02 0.01 0.01 0.00
38 -0.0733 -0.5153 0 0.0000 9.238 -9.47 0.02 0.01 0.01 0.00
39 0.0576 -0.4487 0 0.0000 9.159 -9.39 0.02 0.01 0.01 0.00
40 0.3148 -0.4284 0 0.0000 9.084 -9.32 0.03 0.01 0.01 0.00
41 -0.0542 -0.4271 0 0.0000 9.012 -9.24 0.03 0.01 0.01 0.00
42 -0.3298 -0.5561 0 0.0000 8.941 -9.17 0.03 0.00 0.01 0.00
43 -0.2941 -0.5564 0 0.0000 8.867 -9.10 0.03 0.01 0.01 0.00
44 -0.2413 -0.5211 0 0.0000 8.789 -9.02 0.03 0.00 0.01 0.00
45 0.0697 -0.3537 0 0.0000 8.708 -8.94 0.03 0.00 0.01 0.00
46 0.1006 -0.3525 0 0.0000 8.625 -8.86 0.02 0.00 0.01 0.00
47 0.0944 -0.3572 0 0.0000 8.541 -8.77 0.02 0.00 0.01 0.00
48 0.6381 -0.1763 0 0.0000 8.456 -8.68 0.02 0.00 0.01 0.00
49 0.6390 -0.1843 0 0.0000 8.373 -8.60 0.02 0.01 0.01 0.00
50 0.5427 -0.2514 0 0.0000 8.294 -8.52 0.01 0.01 0.01 0.00
51 1.1378 0.1437 0 0.0000 8.217 -8.44 0.01 0.00 0.01 0.01
52 1.1747 0.1625 0 0.0000 8.144 -8.37 0.01 0.00 0.01 0.01
53 0.7533 -0.1212 0 0.0000 8.076 -8.30 0.00 0.00 0.01 0.01
54 0.7315 -0.0908 0 0.0000 8.009 -8.23 0.00 0.00 0.01 0.01
55 0.7505 -0.1169 1 0.0500 7.939 -8.16 -0.00 0.00 0.01 0.01
56 0.7568 -0.1163 1 0.1000 7.867 -8.09 -0.00 0.00 0.01 0.01
57 0.7638 -0.1218 1 0.1500 7.793 -8.02 -0.00 0.00 0.01 0.01
58 0.8329 -0.0765 1 0.2000 7.714 -7.94 -0.00 0.00 0.01 0.01
59 0.8964 -0.0405 1 0.2500 7.632 -7.85 -0.00 0.00 0.01 0.01
60 1.0568 0.0429 1 0.3000 7.546 -7.77 0.00 0.00 0.01 0.01
61 1.0531 -0.0015 1 0.3500 7.458 -7.68 0.00 0.00 0.01 0.01
62 1.0682 -0.0335 1 0.4000 7.369 -7.59 0.01 0.00 0.01 0.01
63 1.1927 -0.0145 1 0.4500 7.279 -7.50 0.01 0.00 0.01 0.01
64 1.1146 -0.1047 1 0.5000 7.190 -7.41 0.01 0.00 0.01 0.01
65 1.1506 -0.0765 1 0.5500 7.101 -7.32 0.01 0.00 0.01 0.01
66 1.1954 -0.1049 1 0.6000 7.013 -7.23 0.01 0.00 0.01 0.01
67 1.1249 -0.1767 1 0.6500 6.926 -7.14 0.01 0.00 0.01 0.01
68 1.2878 -0.0637 1 0.7000 6.839 -7.06 0.02 0.00 0.01 0.01
69 1.3492 -0.0407 1 0.7500 6.751 -6.97 0.02 0.00 0.01 0.01
70 1.2850 -0.1155 1 0.8000 6.664 -6.88 0.02 0.00 0.01 0.01
71 1.2185 -0.1829 1 0.8500 6.577 -6.79 0.02 0.00 0.01 0.01
72 1.2188 -0.1805 1 0.9000 6.492 -6.70 0.02 0.00 0.01 0.01
73 1.1963 -0.2173 1 0.9500 6.407 -6.62 0.02 0.00 0.01 0.01
74 1.1873 -0.2036 0 1.0000 6.324 -6.53 0.02 0.00 0.01 0.01
75 1.4257 0.0328 0 1.0000 6.236 -6.45 0.02 0.01 0.01 0.00
76 1.8654 0.5081 0 1.0000 6.138 -6.37 0.02 0.01 0.01 0.00
77 2.4629 1.1835 0 1.0000 6.032 -6.28 0.02 0.03 0.01 0.02
78 2.6680 1.3977 0 1.0000 5.925 -6.20 0.02 0.05 0.01 0.03
79 1.0108 0.0583 0 1.0000 5.822 -6.11 0.01 0.07 0.01 0.06
80 -0.6811 -0.3512 0 1.0000 5.736 -6.01 0.01 0.08 0.01 0.06
81 0.3722 0.7534 0 1.0000 5.686 -5.91 0.00 0.07 0.02 0.06
82 0.4099 0.7423 0 1.0000 5.702 -5.81 -0.01 0.07 0.02 0.05
83 1.0614 0.8145 0 1.0000 5.811 -5.70 -0.01 0.06 0.02 0.04
84 0.8307 0.3180 0 1.0000 6.040 -5.59 -0.02 0.06 0.02 0.03
85 0.8257 0.3204 0 1.0000 6.412 -5.49 -0.03 0.04 0.02 0.02
86 0.8210 0.3214 0 1.0000 6.940 -5.37 -0.03 0.03 0.02 0.00
87 0.8210 0.3207 0 1.0000 7.627 -5.26 -0.04 0.01 0.03 0.02
88 0.8250 0.3220 0 1.0000 8.471 -5.15 -0.05 -0.02 0.03 0.05
89 0.8205 0.3207 0 1.0000 9.466 -5.03 -0.05 -0.06 0.03 0.09
