# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 0.8201 0.3207 0 0.0000 6.083 -12.00 -6.00 1.84 0.00 1.84
1 1.8374 1.8721 0 0.0000 12.041 0.11 -11.90 1.57 1.57 0.00
2 1.0887 1.2825 0 0.0000 12.035 0.11 -11.90 1.57 1.57 0.00
3 0.9954 1.0686 0 0.0000 12.029 0.10 -11.89 1.57 1.57 0.00
4 0.7053 0.8385 0 0.0000 12.019 0.08 -11.88 1.57 1.57 0.00
5 0.5593 0.6794 0 0.0000 11.997 0.07 -11.85 1.56 1.57 0.00
6 0.5622 0.6573 0 0.0000 11.961 0.05 -11.82 1.56 1.57 0.00
7 0.4415 0.5617 0 0.0000 11.912 0.04 -11.77 1.56 1.56 0.00
8 0.3199 0.4369 0 0.0000 11.851 0.02 -11.70 1.56 1.56 0.00
9 0.2241 0.3803 0 0.0000 11.779 0.01 -11.63 1.56 1.56 0.00
10 0.2530 0.3712 0 0.0000 11.699 0.00 -11.55 1.56 1.56 0.00
11 0.1665 0.3022 0 0.0000 11.614 -0.01 -11.47 1.56 1.56 0.00
12 -0.0029 0.1810 0 0.0000 11.524 -0.01 -11.38 1.56 1.56 0.00
13 -0.0861 0.0880 0 0.0000 11.432 -0.02 -11.28 1.56 1.56 0.00
14 -0.2229 -0.0401 0 0.0000 11.339 -0.02 -11.19 1.56 1.56 0.00
15 -0.3673 -0.1581 0 0.0000 11.246 -0.02 -11.10 1.56 1.56 0.00
16 -0.4255 -0.2564 0 0.0000 11.153 -0.02 -11.00 1.56 1.56 0.00
17 -0.4571 -0.3192 0 0.0000 11.062 -0.03 -10.91 1.56 1.56 0.00
18 -0.5062 -0.3865 0 0.0000 10.969 -0.03 -10.82 1.56 1.56 0.00
19 -0.5930 -0.4743 0 0.0000 10.877 -0.03 -10.72 1.56 1.56 0.00
20 -0.5882 -0.4581 0 0.0000 10.783 -0.03 -10.63 1.56 1.56 0.00
21 -0.5890 -0.5045 0 0.0000 10.692 -0.02 -10.54 1.56 1.56 0.00
22 -0.5150 -0.5713 0 0.0000 10.602 -0.02 -10.45 1.56 1.56 0.00
23 -0.4488 -0.7370 0 0.0000 10.513 -0.02 -10.36 1.56 1.56 0.00
24 -0.3726 -0.8096 0 0.0000 10.425 -0.01 -10.27 1.57 1.56 0.01
25 -0.2943 -0.8300 0 0.0000 10.336 -0.01 -10.18 1.57 1.56 0.01
26 -0.2014 -0.7999 0 0.0000 10.245 -0.00 -10.09 1.57 1.56 0.01
27 -0.0967 -0.7618 0 0.0000 10.153 -0.00 -10.00 1.57 1.56 0.01
28 0.1413 -0.5934 0 0.0000 10.060 0.00 -9.90 1.57 1.56 0.01
29 0.1944 -0.6504 0 0.0000 9.970 0.00 -9.81 1.57 1.56 0.01
30 0.1981 -0.7447 0 0.0000 9.881 0.00 -9.72 1.57 1.56 0.01
31 0.2664 -0.7512 0 0.0000 9.792 0.00 -9.63 1.57 1.56 0.01
32 0.4469 -0.6453 0 0.0000 9.703 0.00 -9.54 1.57 1.56 0.01
33 0.4831 -0.7040 0 0.0000 9.617 0.00 -9.46 1.57 1.56 0.01
34 0.5362 -0.7711 0 0.0000 9.532 0.00 -9.37 1.57 1.56 0.01
35 0.7010 -0.5707 0 0.0000 9.447 0.00 -9.29 1.57 1.56 0.01
36 0.9726 -0.2061 0 0.0000 9.364 0.00 -9.20 1.57 1.56 0.01
37 0.9842 -0.1830 0 0.0000 9.285 0.01 -9.12 1.57 1.56 0.01
38 0.9113 -0.2992 0 0.0000 9.208 0.01 -9.05 1.57 1.56 0.01
39 0.7950 -0.4561 0 0.0000 9.134 0.01 -8.97 1.57 1.56 0.01
40 0.7758 -0.4862 0 0.0000 9.057 0.01 -8.89 1.57 1.56 0.01
41 0.8170 -0.4299 0 0.0000 8.978 0.01 -8.81 1.57 1.56 0.01
42 0.8835 -0.3356 0 0.0000 8.895 0.01 -8.73 1.57 1.56 0.01
