# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 0.6924 -0.0530 0 0.0000 13.454 6.00 -12.00 3.12 2.68 0.44
1 0.1041 0.7319 0 0.0000 12.042 -0.15 -11.78 1.57 1.57 0.00
2 0.1397 0.7477 0 0.0000 12.040 -0.15 -11.78 1.57 1.57 0.00
3 0.3025 0.7700 0 0.0000 12.031 -0.14 -11.77 1.57 1.57 0.00
4 0.2913 0.7085 0 0.0000 12.010 -0.13 -11.75 1.57 1.57 0.00
5 0.0616 0.5197 0 0.0000 11.975 -0.12 -11.71 1.57 1.57 0.00
6 0.1395 0.5476 0 0.0000 11.932 -0.11 -11.67 1.57 1.57 0.01
7 0.1320 0.4993 0 0.0000 11.884 -0.11 -11.62 1.57 1.57 0.01
8 0.0261 0.4217 0 0.0000 11.832 -0.10 -11.57 1.57 1.58 0.01
9 0.0468 0.3662 0 0.0000 11.778 -0.09 -11.51 1.56 1.58 0.01
10 -0.0443 0.2894 0 0.0000 11.719 -0.08 -11.45 1.57 1.58 0.01
11 -0.2192 0.1707 0 0.0000 11.655 -0.07 -11.39 1.57 1.58 0.01
12 -0.2722 0.1040 0 0.0000 11.584 -0.07 -11.32 1.57 1.58 0.01
13 -0.3010 0.0341 0 0.0000 11.507 -0.06 -11.24 1.57 1.58 0.01
14 -0.3010 -0.0355 0 0.0000 11.424 -0.05 -11.16 1.57 1.58 0.01
15 -0.3937 -0.1153 0 0.0000 11.337 -0.05 -11.07 1.57 1.58 0.01
16 -0.5114 -0.2679 0 0.0000 11.247 -0.04 -10.98 1.57 1.58 0.01
17 -0.5890 -0.3807 0 0.0000 11.154 -0.03 -10.89 1.57 1.58 0.01
18 -0.6728 -0.4925 0 0.0000 11.060 -0.03 -10.79 1.57 1.58 0.01
19 -0.7168 -0.5695 0 0.0000 10.964 -0.03 -10.70 1.57 1.58 0.01
20 -0.6430 -0.6076 0 0.0000 10.867 -0.02 -10.60 1.57 1.58 0.01
21 -0.5134 -0.5321 0 0.0000 10.771 -0.02 -10.50 1.57 1.58 0.02
22 -0.4441 -0.5908 0 0.0000 10.677 -0.01 -10.41 1.57 1.58 0.02
23 -0.3725 -0.6995 0 0.0000 10.588 -0.01 -10.32 1.57 1.58 0.02
24 -0.2748 -0.7436 0 0.0000 10.500 -0.00 -10.23 1.57 1.58 0.02
25 -0.1815 -0.7297 0 0.0000 10.414 -0.00 -10.14 1.57 1.59 0.02
26 -0.0979 -0.7034 0 0.0000 10.332 0.00 -10.06 1.57 1.59 0.02
27 -0.0463 -0.5636 0 0.0000 10.256 0.00 -9.98 1.57 1.59 0.02
28 -0.0244 -0.7566 0 0.0000 10.188 0.00 -9.92 1.57 1.59 0.02
29 -0.1468 -0.7791 0 0.0000 10.125 0.00 -9.85 1.57 1.59 0.02
30 0.0238 -0.8983 0 0.0000 10.062 0.00 -9.79 1.57 1.59 0.02
31 -0.0302 -1.0217 0 0.0000 10.000 0.00 -9.73 1.57 1.59 0.02
32 0.0380 -1.0076 0 0.0000 9.936 0.00 -9.66 1.57 1.59 0.02
33 0.1562 -0.9527 0 0.0000 9.869 0.01 -9.60 1.57 1.59 0.02
34 0.1752 -0.9908 0 0.0000 9.799 0.01 -9.52 1.56 1.59 0.02
35 0.2877 -0.9156 0 0.0000 9.727 0.01 -9.45 1.57 1.59 0.02
36 0.3294 -0.9544 0 0.0000 9.652 0.01 -9.38 1.56 1.59 0.02
37 0.4402 -0.8477 0 0.0000 9.575 0.01 -9.30 1.56 1.59 0.02
38 0.4944 -0.7879 0 0.0000 9.497 0.01 -9.22 1.57 1.59 0.02
39 0.6398 -0.6999 0 0.0000 9.417 0.01 -9.14 1.56 1.59 0.02
40 0.6215 -0.7058 0 0.0000 9.338 0.01 -9.06 1.57 1.59 0.02
41 0.6228 -0.6725 0 0.0000 9.258 0.01 -8.98 1.56 1.59 0.02
42 0.6663 -0.6265 0 0.0000 9.176 0.01 -8.90 1.57 1.59 0.02
43 0.8078 -0.4617 0 0.0000 9.092 0.01 -8.81 1.56 1.59 0.02
44 1.1174 -0.0116 0 0.0000 9.007 0.01 -8.73 1.57 1.59 0.02
45 1.0232 -0.1173 0 0.0000 8.924 0.01 -8.64 1.56 1.59 0.02
46 0.9476 -0.2267 0 0.0000 8.842 0.01 -8.56 1.56 1.59 0.02
47 0.9918 -0.1329 0 0.0000 8.758 0.01 -8.48 1.56 1.59 0.02
48 1.0255 -0.0457 0 0.0000 8.673 0.01 -8.39 1.57 1.59 0.02
49 1.0722 0.0714 0 0.0000 8.586 0.01 -8.30 1.57 1.59 0.02
50 1.0887 0.1756 0 0.0000 8.497 0.01 -8.21 1.57 1.59 0.02
51 1.1063 0.2676 0 0.0000 8.405 0.01 -8.12 1.57 1.59 0.02
52 1.1166 0.3820 0 0.0000 8.312 0.01 -8.03 1.56 1.59 0.03
53 1.1905 0.5454 0 0.0000 8.218 0.01 -7.93 1.56 1.59 0.03
54 1.2159 0.6856 0 0.0000 8.122 0.01 -7.84 1.56 1.59 0.03
55 1.2066 0.7619 0 0.0000 8.026 0.01 -7.74 1.56 1.59 0.03
56 1.2779 0.9122 1 0.0500 7.930 0.01 -7.64 1.56 1.59 0.03
57 1.2685 0.9736 1 0.1000 7.834 0.01 -7.55 1.56 1.59 0.03
58 1.2284 0.9976 1 0.1500 7.737 0.01 -7.45 1.56 1.59 0.03
59 1.2065 1.0283 1 0.2000 7.640 0.01 -7.35 1.57 1.59 0.03
60 1.2267 1.0962 1 0.2500 7.543 0.01 -7.25 1.56 1.59 0.03
61 1.2098 1.0647 1 0.3000 7.447 0.01 -7.16 1.56 1.59 0.03
62 1.2457 1.1748 1 0.3500 7.353 0.01 -7.06 1.57 1.59 0.03
63 1.2102 1.1810 1 0.4000 7.261 0.01 -6.97 1.56 1.59 0.03
64 1.1937 1.1611 1 0.4500 7.171 0.01 -6.88 1.57 1.59 0.03
65 1.1263 1.1494 1 0.5000 7.084 0.02 -6.79 1.56 1.59 0.03
66 1.0842 1.1358 1 0.5500 7.000 0.02 -6.71 1.57 1.59 0.03
67 1.1438 1.3137 1 0.6000 6.920 0.01 -6.62 1.56 1.59 0.03
68 1.1385 1.3365 1 0.6500 6.840 0.01 -6.54 1.56 1.59 0.03
69 1.1350 1.3332 1 0.7000 6.759 0.01 -6.46 1.56 1.59 0.03
70 1.0765 1.3035 1 0.7500 6.677 0.01 -6.38 1.56 1.59 0.04
71 0.8636 1.1038 1 0.8000 6.593 0.00 -6.29 1.56 1.59 0.04
72 0.6780 0.9179 1 0.8500 6.509 0.00 -6.21 1.56 1.59 0.04
73 0.6165 0.8876 1 0.9000 6.426 -0.00 -6.12 1.56 1.59 0.04
74 0.6976 0.9989 1 0.9500 6.344 -0.00 -6.04 1.56 1.59 0.04
75 0.4453 0.7662 0 1.0000 6.262 -0.00 -5.96 1.56 1.59 0.04
76 0.2384 0.6154 0 1.0000 6.172 -0.00 -5.87 1.56 1.59 0.04
77 0.2013 0.5762 0 1.0000 6.073 -0.00 -5.79 1.56 1.59 0.04
78 0.4651 0.8247 0 1.0000 5.967 -0.01 -5.71 1.56 1.59 0.03
79 1.0619 1.1209 0 1.0000 5.864 -0.01 -5.63 1.58 1.59 0.02
80 2.3099 2.0000 0 1.0000 5.770 -0.02 -5.55 1.61 1.59 0.02
81 1.6528 1.3993 0 1.0000 5.698 0.02 -5.47 1.65 1.60 0.05
82 0.5673 0.9638 0 1.0000 5.705 0.09 -5.48 1.62 1.61 0.01
83 0.0070 0.4848 0 1.0000 5.702 0.15 -5.47 1.61 1.62 0.01
84 0.2369 0.6506 0 1.0000 5.682 0.18 -5.45 1.62 1.63 0.01
85 -0.3636 0.1928 0 1.0000 5.686 0.20 -5.45 1.62 1.63 0.02
86 -0.5321 0.1112 0 1.0000 5.686 0.19 -5.45 1.62 1.63 0.02
87 -0.5470 0.1124 0 1.0000 5.686 0.17 -5.45 1.61 1.63 0.01
88 -0.1415 0.4434 0 1.0000 5.685 0.13 -5.45 1.61 1.62 0.01
89 0.4983 0.7813 0 1.0000 5.685 0.06 -5.46 1.60 1.61 0.00
90 0.4096 0.5579 0 1.0000 5.687 0.03 -5.46 1.61 1.60 0.01
