# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 0.9384 0.7235 0 0.0000 13.454 -12.00 12.00 -1.98 -0.46 1.52
1 0.8093 1.7956 0 0.0000 12.043 -0.23 -11.86 1.57 1.57 0.00
2 0.0867 1.0629 0 0.0000 12.054 -0.24 -11.87 1.57 1.57 0.00
3 -0.3246 0.5145 0 0.0000 12.075 -0.26 -11.89 1.56 1.57 0.01
4 -0.3038 0.5573 0 0.0000 12.095 -0.27 -11.91 1.56 1.57 0.01
5 -0.2666 0.5626 0 0.0000 12.107 -0.29 -11.92 1.56 1.57 0.00
6 -0.1110 0.6806 0 0.0000 12.105 -0.30 -11.92 1.56 1.56 0.00
7 -0.2589 0.6233 0 0.0000 12.088 -0.31 -11.90 1.56 1.56 0.00
8 -0.4108 0.4505 0 0.0000 12.056 -0.32 -11.87 1.56 1.56 0.00
9 -0.4730 0.4168 0 0.0000 12.011 -0.32 -11.82 1.56 1.56 0.00
10 -0.5437 0.3212 0 0.0000 11.955 -0.31 -11.77 1.56 1.56 0.00
11 -0.5230 0.2829 0 0.0000 11.891 -0.30 -11.70 1.56 1.56 0.01
12 -0.5530 0.2093 0 0.0000 11.821 -0.29 -11.63 1.56 1.57 0.01
13 -0.5529 0.1533 0 0.0000 11.744 -0.28 -11.56 1.56 1.57 0.01
14 -0.5551 0.1347 0 0.0000 11.661 -0.26 -11.47 1.56 1.57 0.01
15 -0.6660 0.0399 0 0.0000 11.574 -0.24 -11.39 1.56 1.57 0.01
16 -0.7163 -0.0787 0 0.0000 11.483 -0.23 -11.29 1.56 1.57 0.01
17 -0.7460 -0.1690 0 0.0000 11.391 -0.21 -11.20 1.56 1.57 0.01
18 -0.7781 -0.2425 0 0.0000 11.297 -0.19 -11.11 1.56 1.57 0.01
19 -0.8120 -0.2983 0 0.0000 11.202 -0.17 -11.01 1.56 1.58 0.01
20 -0.8149 -0.3615 0 0.0000 11.106 -0.15 -10.92 1.56 1.58 0.01
21 -0.8418 -0.4579 0 0.0000 11.010 -0.13 -10.82 1.56 1.58 0.02
22 -0.8559 -0.5419 0 0.0000 10.914 -0.12 -10.72 1.57 1.58 0.02
23 -0.6334 -0.3880 0 0.0000 10.818 -0.10 -10.63 1.57 1.58 0.02
24 -0.5632 -0.4430 0 0.0000 10.724 -0.08 -10.53 1.57 1.58 0.02
25 -0.5290 -0.5312 0 0.0000 10.633 -0.07 -10.44 1.57 1.59 0.02
26 -0.4785 -0.6541 0 0.0000 10.543 -0.06 -10.35 1.57 1.59 0.02
27 -0.2277 -0.5544 0 0.0000 10.454 -0.04 -10.26 1.57 1.59 0.02
28 -0.2636 -0.6966 0 0.0000 10.368 -0.03 -10.17 1.57 1.59 0.02
29 -0.2296 -0.7922 0 0.0000 10.284 -0.03 -10.09 1.57 1.59 0.02
30 -0.1552 -0.8217 0 0.0000 10.199 -0.02 -10.00 1.57 1.59 0.03
31 -0.0482 -0.8154 0 0.0000 10.114 -0.01 -9.92 1.57 1.59 0.03
32 0.0402 -0.8301 0 0.0000 10.028 -0.01 -9.83 1.57 1.59 0.03
33 0.1223 -0.8403 0 0.0000 9.940 -0.00 -9.74 1.57 1.59 0.03
34 0.2347 -0.8066 0 0.0000 9.851 0.00 -9.65 1.57 1.59 0.03
35 0.4201 -0.7402 0 0.0000 9.760 0.00 -9.56 1.57 1.60 0.03
36 0.5089 -0.7116 0 0.0000 9.671 0.00 -9.47 1.57 1.60 0.03
37 0.8160 -0.4029 0 0.0000 9.585 0.01 -9.38 1.57 1.60 0.03
38 0.9357 -0.2657 0 0.0000 9.504 0.01 -9.30 1.57 1.60 0.03
39 0.9368 -0.2727 0 0.0000 9.429 0.01 -9.23 1.57 1.60 0.03
40 0.6295 -0.6510 0 0.0000 9.358 0.01 -9.16 1.56 1.60 0.03
41 0.6946 -0.5487 0 0.0000 9.288 0.01 -9.09 1.56 1.60 0.03
42 0.6473 -0.6006 0 0.0000 9.215 0.01 -9.01 1.56 1.60 0.03
43 0.7176 -0.5867 0 0.0000 9.138 0.01 -8.94 1.56 1.60 0.03
44 0.7676 -0.5202 0 0.0000 9.059 0.01 -8.86 1.56 1.60 0.03
45 0.7894 -0.4899 0 0.0000 8.979 0.01 -8.77 1.56 1.60 0.03
46 0.8154 -0.4366 0 0.0000 8.895 0.01 -8.69 1.56 1.60 0.03
47 0.8751 -0.3438 0 0.0000 8.809 0.01 -8.60 1.56 1.60 0.03
48 0.9370 -0.2141 0 0.0000 8.720 0.01 -8.51 1.57 1.60 0.03
49 1.0225 -0.0458 0 0.0000 8.628 0.01 -8.42 1.57 1.60 0.03
50 1.0441 0.0609 0 0.0000 8.535 0.01 -8.33 1.57 1.60 0.03
51 1.1134 0.2199 0 0.0000 8.440 0.01 -8.23 1.57 1.60 0.03
52 1.0754 0.2481 0 0.0000 8.345 0.01 -8.14 1.57 1.60 0.03
53 1.2556 0.5543 0 0.0000 8.249 0.01 -8.04 1.56 1.60 0.04
54 1.4601 0.7497 0 0.0000 8.157 0.01 -7.95 1.56 1.60 0.04
55 1.1624 0.5187 0 0.0000 8.070 0.01 -7.86 1.56 1.60 0.04
56 1.2071 0.6989 1 0.0500 7.988 0.00 -7.78 1.56 1.60 0.04
57 1.1441 0.6969 1 0.1000 7.906 0.00 -7.69 1.57 1.60 0.04
58 1.0904 0.6993 1 0.1500 7.823 0.01 -7.61 1.57 1.60 0.04
59 1.2130 0.8490 1 0.2000 7.739 0.01 -7.52 1.57 1.60 0.04
60 1.1544 0.8481 1 0.2500 7.654 0.01 -7.44 1.57 1.60 0.04
61 1.1284 0.8842 1 0.3000 7.570 0.01 -7.36 1.57 1.60 0.04
62 1.3236 1.0841 1 0.3500 7.486 0.00 -7.27 1.57 1.60 0.04
63 1.3679 1.1915 1 0.4000 7.403 0.00 -7.19 1.57 1.60 0.04
64 1.4131 1.2793 1 0.4500 7.321 0.00 -7.10 1.57 1.60 0.03
65 1.3270 1.2662 1 0.5000 7.239 0.00 -7.02 1.57 1.60 0.04
66 1.2995 1.2355 1 0.5500 7.156 0.00 -6.94 1.57 1.60 0.04
67 1.2367 1.2284 1 0.6000 7.074 0.00 -6.85 1.57 1.60 0.04
68 1.2364 1.2652 1 0.6500 6.991 0.00 -6.77 1.57 1.61 0.04
69 1.1460 1.2190 1 0.7000 6.908 0.01 -6.69 1.57 1.61 0.04
70 0.9408 1.0399 1 0.7500 6.824 0.01 -6.60 1.57 1.61 0.04
71 0.9385 1.0526 1 0.8000 6.740 0.01 -6.51 1.57 1.61 0.04
72 0.9354 1.0831 1 0.8500 6.659 0.02 -6.43 1.57 1.61 0.04
73 0.9065 1.1004 1 0.9000 6.581 0.02 -6.35 1.57 1.61 0.04
74 0.7605 1.0165 1 0.9500 6.505 0.02 -6.28 1.57 1.61 0.04
75 0.7705 1.0690 0 1.0000 6.429 0.02 -6.20 1.57 1.61 0.04
76 0.6843 1.0685 0 1.0000 6.346 0.02 -6.12 1.56 1.61 0.05
77 1.0663 1.3745 0 1.0000 6.251 0.01 -6.04 1.55 1.61 0.06
78 1.7071 1.7388 0 1.0000 6.146 0.01 -5.96 1.54 1.61 0.07
79 2.0971 1.9512 0 1.0000 6.035 -0.00 -5.88 1.54 1.61 0.07
80 2.3192 1.9146 0 1.0000 5.928 -0.02 -5.78 1.54 1.61 0.06
81 0.0080 -0.0937 0 1.0000 5.837 -0.04 -5.69 1.53 1.60 0.07
82 -0.3203 0.5031 0 1.0000 5.782 -0.06 -5.59 1.51 1.60 0.09
83 0.6821 0.6940 0 1.0000 5.790 -0.09 -5.49 1.48 1.60 0.11
84 0.5725 0.7997 0 1.0000 5.890 -0.12 -5.39 1.46 1.59 0.14
85 0.6029 0.9961 0 1.0000 6.109 -0.16 -5.29 1.43 1.59 0.16
86 0.6958 1.1326 0 1.0000 6.469 -0.19 -5.19 1.40 1.58 0.18
87 0.8831 1.3269 0 1.0000 6.986 -0.23 -5.09 1.36 1.57 0.21
88 1.1996 1.5810 0 1.0000 7.665 -0.27 -4.99 1.33 1.56 0.23
89 1.4744 1.6622 0 1.0000 8.503 -0.31 -4.88 1.30 1.56 0.25
90 1.8389 1.7220 0 1.0000 9.496 -0.36 -4.78 1.28 1.55 0.27
