# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
68 -3.5412 -0.4774 0 0.0000 9.164 9.09 1.24 3.14 -3.04 0.10
69 -3.3780 -0.4458 0 0.0000 9.131 9.05 1.25 3.14 -3.04 0.10
70 -3.3436 -0.4704 0 0.0000 9.112 9.04 1.25 3.14 -3.04 0.10
71 -3.3241 -0.4743 0 0.0000 9.098 9.02 1.24 -3.14 -3.04 0.10
72 -3.2620 -0.4347 0 0.0000 9.085 9.01 1.24 -3.14 -3.04 0.10
73 -3.2809 -0.4514 0 0.0000 9.075 9.00 1.24 3.14 -3.04 0.10
74 -3.1896 -0.4246 0 0.0000 9.069 8.99 1.24 -3.14 -3.04 0.10
75 -3.1332 -0.4010 0 0.0000 9.065 8.99 1.24 3.14 -3.04 0.10
76 -3.1298 -0.4400 0 0.0000 9.064 8.99 1.24 3.14 -3.04 0.10
77 -3.0975 -0.4168 0 0.0000 9.064 8.99 1.24 3.14 -3.04 0.10
78 -3.1331 -0.4085 0 0.0000 9.064 8.99 1.24 3.14 -3.04 0.10
79 -3.1396 -0.4212 0 0.0000 9.064 8.99 1.24 3.14 -3.04 0.10
80 -3.1095 -0.3883 0 0.0000 9.064 8.99 1.24 3.14 -3.04 0.10
81 -3.1371 -0.3883 0 0.0000 9.064 8.99 1.24 3.14 -3.04 0.10
82 -3.1348 -0.3834 0 0.0000 9.064 8.99 1.24 3.14 -3.04 0.10
83 -3.1209 -0.3941 0 0.0000 9.064 8.99 1.24 3.14 -3.04 0.10
84 -3.0974 -0.3935 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
85 -3.1215 -0.3939 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
86 -3.1041 -0.3636 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
87 -3.0852 -0.3541 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
88 -3.1249 -0.3936 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
89 -3.1055 -0.4000 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
90 -3.0666 -0.3983 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
91 -3.0445 -0.3824 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
92 -3.0309 -0.3899 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
93 -3.0325 -0.3887 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
94 -3.0130 -0.3728 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
95 -3.0019 -0.3702 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
96 -2.9808 -0.3843 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
97 -2.9885 -0.3711 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
98 -3.0446 -0.3921 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
99 -3.0448 -0.3677 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
100 -2.9907 -0.3840 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
101 -2.9760 -0.3549 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
102 -2.9776 -0.3604 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
103 -3.0151 -0.3909 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
104 -2.9431 -0.3903 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
105 -2.9393 -0.3799 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
106 -2.9436 -0.3797 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
107 -2.9685 -0.3907 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
108 -2.9954 -0.3983 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
109 -3.0311 -0.4175 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
110 -3.0155 -0.3832 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
111 -3.0409 -0.4088 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
112 -3.0396 -0.4004 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
113 -3.0517 -0.4035 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
114 -3.0788 -0.3992 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
115 -3.0730 -0.3912 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
116 -3.0578 -0.3797 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
117 -3.0208 -0.3693 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
118 -3.0317 -0.3621 0 0.0000 9.063 8.99 1.24 3.14 -3.04 0.10
119 -3.0134 -0.3366 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
120 -3.0189 -0.3470 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
121 -3.0211 -0.3662 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
122 -3.0418 -0.3437 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
123 -2.9946 -0.3462 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
124 -2.9762 -0.3505 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
125 -3.0253 -0.3819 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
126 -3.0490 -0.4051 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
127 -3.0484 -0.3891 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
128 -3.0026 -0.3589 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
129 -3.0502 -0.3777 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
130 -3.0836 -0.3768 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
131 -3.0839 -0.3816 0 0.0000 9.062 8.99 1.24 3.14 -3.04 0.10
132 -2.8915 -0.2876 0 0.0000 9.062 8.98 1.24 3.14 -3.04 0.10
133 -2.9079 -0.3000 0 0.0000 9.060 8.98 1.24 3.14 -3.04 0.10
134 -2.8963 -0.2768 0 0.0000 9.059 8.98 1.24 3.14 -3.04 0.10
135 -2.8858 -0.2669 0 0.0000 9.058 8.98 1.24 3.14 -3.04 0.10
136 -2.8808 -0.2491 0 0.0000 9.057 8.98 1.24 3.14 -3.04 0.10
137 -3.0297 -0.3093 0 0.0000 9.054 8.98 1.24 -3.14 -3.04 0.10
138 -2.9837 -0.2770 0 0.0000 9.051 8.97 1.24 3.14 -3.04 0.10
139 -2.9950 -0.3228 0 0.0000 9.046 8.97 1.24 -3.14 -3.04 0.10
140 -2.9485 -0.3108 0 0.0000 9.040 8.96 1.24 3.14 -3.04 0.10
141 -2.8804 -0.3083 0 0.0000 9.033 8.96 1.24 3.14 -3.04 0.10
142 -2.7236 -0.2438 0 0.0000 9.025 8.95 1.24 -3.14 -3.04 0.10
143 -2.7323 -0.2501 0 0.0000 9.016 8.94 1.24 3.14 -3.04 0.10
144 -2.8339 -0.2826 0 0.0000 9.008 8.93 1.24 3.14 -3.04 0.10
145 -2.8331 -0.2671 0 0.0000 9.002 8.92 1.24 3.14 -3.04 0.10
146 -2.8459 -0.2470 0 0.0000 8.997 8.92 1.24 3.14 -3.04 0.10
147 -2.8445 -0.2567 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
148 -2.8225 -0.2302 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
149 -2.7859 -0.2309 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
150 -2.7716 -0.2224 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
151 -2.7961 -0.2991 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
152 -2.8045 -0.3002 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
153 -2.8373 -0.2957 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
154 -2.8296 -0.2730 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
155 -2.8635 -0.2704 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
156 -2.8530 -0.2820 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
157 -2.8453 -0.2780 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
158 -2.9044 -0.3025 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
159 -2.9297 -0.3100 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
160 -2.9019 -0.2965 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
161 -2.9295 -0.3014 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
162 -2.9764 -0.3343 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
163 -2.9797 -0.3467 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
164 -2.9390 -0.3245 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
165 -2.9696 -0.3294 0 0.0000 8.996 8.92 1.24 3.14 -3.04 0.10
