# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 -2.6930 -0.2994 0 0.0000 18.028 6.00 6.00 -2.13 3.14 1.01
1 1.1097 0.5788 0 0.0000 12.042 -0.06 12.05 -1.57 -1.57 0.00
2 0.2721 0.5442 0 0.0000 12.042 -0.06 12.05 -1.57 -1.57 0.00
3 0.1966 0.6193 0 0.0000 12.035 -0.06 12.04 -1.58 -1.57 0.01
4 0.2358 0.6423 0 0.0000 12.016 -0.06 12.02 -1.58 -1.57 0.01
5 0.1535 0.6172 0 0.0000 11.982 -0.04 11.99 -1.58 -1.57 0.01
6 -0.0496 0.5102 0 0.0000 11.934 -0.03 11.94 -1.59 -1.57 0.01
7 -0.3116 0.3451 0 0.0000 11.873 -0.01 11.88 -1.59 -1.58 0.02
8 -0.6207 0.1037 0 0.0000 11.802 0.02 11.81 -1.60 -1.58 0.02
9 -0.8147 -0.0599 0 0.0000 11.722 0.05 11.73 -1.60 -1.58 0.02
10 -1.0668 -0.2696 0 0.0000 11.637 0.09 11.64 -1.60 -1.58 0.02
11 -1.3352 -0.4769 0 0.0000 11.548 0.12 11.55 -1.60 -1.59 0.02
12 -1.5308 -0.6409 0 0.0000 11.455 0.16 11.46 -1.60 -1.59 0.01
13 -1.7628 -0.8275 0 0.0000 11.360 0.21 11.36 -1.61 -1.59 0.01
14 -1.8782 -0.9530 0 0.0000 11.263 0.25 11.26 -1.61 -1.60 0.02
15 -1.9757 -1.1064 0 0.0000 11.166 0.29 11.16 -1.61 -1.60 0.01
16 -2.0805 -1.2425 0 0.0000 11.068 0.33 11.06 -1.62 -1.61 0.01
17 -2.1543 -1.3655 0 0.0000 10.969 0.36 10.96 -1.62 -1.61 0.01
18 -2.1892 -1.4623 0 0.0000 10.870 0.40 10.86 -1.62 -1.61 0.01
19 -2.2217 -1.5522 0 0.0000 10.771 0.42 10.76 -1.62 -1.62 0.00
20 -2.0951 -1.5824 0 0.0000 10.673 0.44 10.66 -1.62 -1.62 0.00
21 -1.9224 -1.6485 0 0.0000 10.577 0.45 10.56 -1.62 -1.62 0.00
22 -1.6841 -1.5942 0 0.0000 10.485 0.46 10.47 -1.62 -1.62 0.00
23 -1.1055 -1.3015 0 0.0000 10.401 0.47 10.38 -1.62 -1.62 0.00
24 -0.7316 -1.0539 0 0.0000 10.329 0.47 10.31 -1.63 -1.62 0.00
25 -0.3045 -0.8918 0 0.0000 10.274 0.47 10.25 -1.63 -1.62 0.00
26 -0.1238 -0.8361 0 0.0000 10.237 0.47 10.21 -1.63 -1.62 0.00
27 -0.5217 -1.0799 0 0.0000 10.219 0.47 10.19 -1.63 -1.62 0.00
28 -0.4143 -1.0738 0 0.0000 10.217 0.46 10.19 -1.62 -1.62 0.00
29 -0.3130 -0.9970 0 0.0000 10.232 0.46 10.21 -1.62 -1.62 0.00
30 -0.3898 -1.0028 0 0.0000 10.262 0.45 10.24 -1.62 -1.62 0.00
31 -0.7326 -1.1214 0 0.0000 10.306 0.44 10.28 -1.62 -1.62 0.00
32 -1.1427 -1.2800 0 0.0000 10.363 0.43 10.34 -1.61 -1.62 0.00
33 -1.3891 -1.3910 0 0.0000 10.428 0.42 10.40 -1.61 -1.62 0.00
34 -1.5785 -1.3295 0 0.0000 10.496 0.41 10.47 -1.61 -1.62 0.00
35 -1.3240 -0.9289 0 0.0000 10.562 0.40 10.54 -1.61 -1.62 0.00
36 -0.3786 -0.4003 0 0.0000 10.622 0.40 10.60 -1.62 -1.61 0.00
37 -0.0362 -0.0793 0 0.0000 10.668 0.39 10.64 -1.61 -1.61 0.00
38 -0.2402 -0.1826 0 0.0000 10.697 0.39 10.67 -1.61 -1.61 0.00
39 -0.2893 -0.1901 0 0.0000 10.707 0.38 10.68 -1.61 -1.61 0.00
40 -0.4551 -0.2864 0 0.0000 10.699 0.37 10.67 -1.61 -1.61 0.00
41 -0.7719 -0.5494 0 0.0000 10.671 0.36 10.64 -1.61 -1.61 0.00
42 -1.2774 -1.0121 0 0.0000 10.629 0.36 10.60 -1.61 -1.61 0.00
43 -1.6294 -1.3955 0 0.0000 10.575 0.35 10.55 -1.61 -1.61 0.00
