# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 -3.2576 -0.6619 0 0.0000 12.042 -12.00 -12.00 0.68 0.00 0.68
1 1.0582 0.4452 0 0.0000 12.042 -0.30 12.11 -1.57 -1.57 0.00
2 0.4742 0.8775 0 0.0000 12.042 -0.30 12.11 -1.57 -1.57 0.00
3 0.3756 0.8122 0 0.0000 12.037 -0.30 12.11 -1.57 -1.57 0.00
4 0.3646 0.7808 0 0.0000 12.019 -0.31 12.09 -1.57 -1.57 0.00
5 0.2962 0.7287 0 0.0000 11.987 -0.30 12.06 -1.57 -1.57 0.00
6 0.1849 0.6283 0 0.0000 11.941 -0.29 12.01 -1.57 -1.57 0.00
7 -0.0879 0.4739 0 0.0000 11.882 -0.27 11.95 -1.56 -1.57 0.01
8 -0.3081 0.3132 0 0.0000 11.813 -0.25 11.88 -1.56 -1.57 0.01
9 -0.6462 0.0503 0 0.0000 11.736 -0.23 11.80 -1.56 -1.58 0.01
10 -0.9868 -0.2099 0 0.0000 11.656 -0.21 11.72 -1.56 -1.58 0.02
11 -1.2119 -0.3781 0 0.0000 11.574 -0.18 11.64 -1.56 -1.58 0.02
12 -1.3734 -0.5299 0 0.0000 11.491 -0.14 11.56 -1.57 -1.58 0.01
13 -1.5258 -0.6712 0 0.0000 11.406 -0.10 11.47 -1.57 -1.59 0.01
14 -1.6680 -0.8067 0 0.0000 11.320 -0.06 11.38 -1.58 -1.59 0.01
15 -1.8507 -0.9752 0 0.0000 11.232 -0.01 11.29 -1.58 -1.60 0.01
16 -1.9220 -1.0848 0 0.0000 11.142 0.04 11.20 -1.59 -1.60 0.02
17 -2.1222 -1.2560 0 0.0000 11.052 0.09 11.11 -1.59 -1.61 0.01
18 -2.2368 -1.4127 0 0.0000 10.960 0.14 11.01 -1.60 -1.61 0.01
19 -2.3014 -1.5558 0 0.0000 10.867 0.18 10.92 -1.60 -1.62 0.02
20 -2.3245 -1.6320 0 0.0000 10.773 0.22 10.82 -1.60 -1.62 0.02
21 -2.2590 -1.6922 0 0.0000 10.678 0.26 10.72 -1.60 -1.62 0.02
22 -2.0435 -1.7180 0 0.0000 10.584 0.28 10.62 -1.60 -1.63 0.02
23 -1.8983 -1.5703 0 0.0000 10.492 0.31 10.53 -1.61 -1.63 0.02
24 -1.5132 -1.4389 0 0.0000 10.409 0.32 10.45 -1.61 -1.63 0.02
25 -1.0317 -1.2344 0 0.0000 10.338 0.33 10.37 -1.61 -1.63 0.02
26 -0.4003 -0.9566 0 0.0000 10.280 0.34 10.31 -1.61 -1.63 0.02
27 0.1754 -0.6049 0 0.0000 10.238 0.35 10.27 -1.61 -1.63 0.02
28 0.2599 -0.5719 0 0.0000 10.215 0.35 10.25 -1.61 -1.63 0.02
29 0.2004 -0.6039 0 0.0000 10.212 0.35 10.24 -1.61 -1.63 0.03
30 0.0247 -0.6348 0 0.0000 10.228 0.35 10.26 -1.61 -1.63 0.02
31 -0.2398 -0.7665 0 0.0000 10.261 0.35 10.29 -1.61 -1.63 0.03
32 -1.0660 -0.9828 0 0.0000 10.308 0.34 10.34 -1.61 -1.63 0.03
33 -0.7178 -0.8703 0 0.0000 10.362 0.33 10.39 -1.60 -1.63 0.03
34 -1.1798 -1.1161 0 0.0000 10.415 0.33 10.45 -1.60 -1.63 0.03
35 -0.5587 -0.7533 0 0.0000 10.461 0.32 10.49 -1.60 -1.63 0.03
36 -1.1335 -0.9897 0 0.0000 10.498 0.32 10.53 -1.60 -1.63 0.03
37 -0.9302 -0.8086 0 0.0000 10.527 0.32 10.56 -1.60 -1.63 0.03
38 -0.9690 -0.7903 0 0.0000 10.546 0.31 10.58 -1.60 -1.63 0.03
39 -1.0024 -0.8191 0 0.0000 10.554 0.31 10.58 -1.60 -1.63 0.03
40 -1.2389 -1.0223 0 0.0000 10.551 0.31 10.58 -1.60 -1.63 0.03
41 -1.4462 -1.2704 0 0.0000 10.538 0.30 10.57 -1.60 -1.63 0.03
42 -1.7627 -1.4848 0 0.0000 10.517 0.30 10.54 -1.60 -1.63 0.03
43 -1.9054 -1.5818 0 0.0000 10.494 0.30 10.52 -1.60 -1.63 0.02
44 -1.6494 -1.4497 0 0.0000 10.470 0.30 10.50 -1.60 -1.63 0.03
45 -1.5835 -1.4060 0 0.0000 10.451 0.30 10.48 -1.60 -1.63 0.03
46 -1.5047 -1.3567 0 0.0000 10.436 0.30 10.46 -1.60 -1.63 0.03
47 -1.4806 -1.3459 0 0.0000 10.427 0.30 10.45 -1.60 -1.63 0.03
48 -1.4915 -1.3796 0 0.0000 10.425 0.30 10.45 -1.60 -1.63 0.03
49 -1.5595 -1.4242 0 0.0000 10.428 0.30 10.45 -1.60 -1.63 0.03
50 -1.5524 -1.4104 0 0.0000 10.434 0.30 10.45 -1.60 -1.63 0.03
51 -1.6166 -1.4943 0 0.0000 10.443 0.31 10.46 -1.60 -1.63 0.03
52 -1.5703 -1.4487 0 0.0000 10.455 0.31 10.47 -1.60 -1.63 0.03
53 -1.4855 -1.3704 0 0.0000 10.469 0.31 10.49 -1.60 -1.63 0.03
54 -1.4907 -1.3440 0 0.0000 10.485 0.31 10.50 -1.60 -1.63 0.03
55 -1.6135 -1.4238 0 0.0000 10.504 0.31 10.52 -1.60 -1.63 0.03
56 -1.7505 -1.4372 0 0.0000 10.525 0.31 10.54 -1.60 -1.63 0.03
57 -1.7645 -1.3817 0 0.0000 10.546 0.31 10.56 -1.60 -1.63 0.03
