# step wm_danger det_logit danger fire dist_t
0 -1.3021 -1.9537 0 0.0000 18.028
1 0.0381 0.2403 0 0.0000 13.452
2 0.1705 0.4757 0 0.0000 13.443
3 0.1568 0.4853 0 0.0000 13.420
4 0.1272 0.4302 0 0.0000 13.382
5 -0.0902 0.1012 0 0.0000 13.329
6 -0.1776 0.1230 0 0.0000 13.263
7 -0.2846 -0.0632 0 0.0000 13.187
8 -0.4167 -0.3425 0 0.0000 13.102
9 -0.5629 -0.6009 0 0.0000 13.012
10 -0.7442 -0.7584 0 0.0000 12.921
11 -0.7232 -0.7766 0 0.0000 12.832
12 -0.7315 -0.7543 0 0.0000 12.745
13 -0.5590 -0.6069 0 0.0000 12.658
14 -0.4035 -0.4157 0 0.0000 12.569
15 -0.2766 -0.3673 0 0.0000 12.478
16 -0.5052 -0.3421 0 0.0000 12.385
17 -0.7373 -0.4832 0 0.0000 12.289
18 -0.7046 -0.3712 0 0.0000 12.191
19 -0.8372 -0.5788 0 0.0000 12.093
20 -0.9491 -0.6931 0 0.0000 11.995
21 -1.0041 -0.6473 0 0.0000 11.898
22 -1.2224 -0.8951 0 0.0000 11.805
23 -1.0899 -0.8480 0 0.0000 11.714
24 -1.3141 -1.0132 0 0.0000 11.625
25 -1.3034 -1.0517 0 0.0000 11.537
26 -1.2344 -0.9595 0 0.0000 11.450
27 -1.1406 -0.8511 0 0.0000 11.362
28 -1.3816 -1.0613 0 0.0000 11.275
29 -1.6042 -1.2871 0 0.0000 11.215
30 -1.7466 -1.4674 0 0.0000 11.158
31 -1.7877 -1.2849 0 0.0000 11.103
32 -1.9562 -1.4081 0 0.0000 11.051
33 -2.0685 -1.5269 0 0.0000 11.004
34 -2.0786 -1.5614 0 0.0000 10.965
35 -1.9659 -1.5343 0 0.0000 10.934
36 -1.9053 -1.5069 0 0.0000 10.912
37 -1.9993 -1.6606 0 0.0000 10.899
38 -1.8870 -1.5583 0 0.0000 10.892
39 -1.8916 -1.5695 0 0.0000 10.893
40 -1.8875 -1.5724 0 0.0000 10.899
41 -1.8011 -1.4637 0 0.0000 10.906
42 -1.7602 -1.4120 0 0.0000 10.912
43 -1.7632 -1.3748 0 0.0000 10.917
44 -1.7857 -1.3534 0 0.0000 10.922
45 -2.0257 -1.4965 0 0.0000 10.939
46 -1.6808 -1.1320 0 0.0000 10.960
47 -1.4216 -0.9059 0 0.0000 10.971
48 -1.2992 -0.7650 0 0.0000 10.972
49 -1.4990 -0.9861 0 0.0000 10.965
50 -1.6036 -1.0309 0 0.0000 10.956
51 -1.7231 -1.2162 0 0.0000 10.949
52 -1.3860 -0.9785 0 0.0000 10.943
53 -1.8575 -1.3848 0 0.0000 10.937
54 -1.8109 -1.3018 0 0.0000 10.930
55 -2.0917 -1.5821 0 0.0000 10.924
56 -2.1559 -1.5607 0 0.0000 10.917
57 -2.1379 -1.5384 0 0.0000 10.911
58 -2.0587 -1.4998 0 0.0000 10.905
59 -2.0564 -1.5453 0 0.0000 10.898
60 -2.0923 -1.5878 0 0.0000 10.891
61 -2.0347 -1.5505 0 0.0000 10.884
62 -2.0052 -1.5523 0 0.0000 10.877
63 -2.0028 -1.5971 0 0.0000 10.871
64 -1.9838 -1.6154 0 0.0000 10.864
65 -2.0270 -1.6886 0 0.0000 10.858
66 -1.9350 -1.6371 0 0.0000 10.851
67 -1.9820 -1.7158 0 0.0000 10.845
68 -1.9123 -1.6756 0 0.0000 10.838
69 -1.7885 -1.5007 0 0.0000 10.830
70 -2.0157 -1.5147 0 0.0000 10.832
71 -2.1628 -1.5059 0 0.0000 10.845
72 -2.0065 -1.4197 0 0.0000 10.863
73 -1.6762 -1.1503 0 0.0000 10.878
74 -1.3919 -0.8493 0 0.0000 10.882
75 -1.5279 -0.9942 0 0.0000 10.876
76 -1.6151 -1.0488 0 0.0000 10.864
77 -1.8872 -1.3892 0 0.0000 10.848
78 -2.0985 -1.6255 0 0.0000 10.832
79 -2.0854 -1.6093 0 0.0000 10.820
80 -2.1502 -1.6467 0 0.0000 10.809
81 -2.2331 -1.7036 0 0.0000 10.801
82 -2.2749 -1.6456 0 0.0000 10.792
83 -2.2355 -1.6502 0 0.0000 10.781
84 -2.2365 -1.6880 0 0.0000 10.770
85 -2.2290 -1.7085 0 0.0000 10.759
86 -2.2048 -1.7905 0 0.0000 10.748
87 -2.2573 -1.8932 0 0.0000 10.735
88 -2.1844 -1.8392 0 0.0000 10.720
89 -2.1378 -1.9002 0 0.0000 10.705
90 -1.6879 -1.4464 0 0.0000 10.690
91 -1.8729 -1.5068 0 0.0000 10.688
92 -2.1611 -1.5966 0 0.0000 10.700
93 -2.0233 -1.4024 0 0.0000 10.718
94 -2.2336 -1.4007 0 0.0000 10.744
95 -2.0865 -1.7748 0 0.0000 10.777
96 -1.6644 -1.1109 0 0.0000 10.804
97 -1.1360 -0.5711 0 0.0000 10.817
98 -1.4328 -0.8609 0 0.0000 10.812
99 -1.4580 -0.8909 0 0.0000 10.788
100 -1.4704 -0.8834 0 0.0000 10.749
101 -1.7012 -1.3937 0 0.0000 10.697
102 -1.6817 -1.3147 0 0.0000 10.634
103 -1.8384 -1.5537 0 0.0000 10.569
104 -1.9460 -1.7062 0 0.0000 10.522
105 -1.9651 -1.6706 0 0.0000 10.470
106 -2.0147 -1.6540 0 0.0000 10.418
107 -2.1094 -1.6330 0 0.0000 10.369
108 -2.2622 -1.5654 0 0.0000 10.320
109 -2.4071 -1.7403 0 0.0000 10.273
110 -2.2838 -1.6057 0 0.0000 10.231
111 -2.2208 -1.6036 0 0.0000 10.196
112 -2.2438 -1.6905 0 0.0000 10.165
113 -2.1445 -1.6071 0 0.0000 10.134
114 -2.0625 -1.5736 0 0.0000 10.103
115 -2.1480 -1.7294 0 0.0000 10.075
116 -1.9348 -1.5941 0 0.0000 10.049
117 -1.7404 -1.3357 0 0.0000 10.025
118 -1.9167 -1.2586 0 0.0000 10.015
119 -1.9919 -1.0757 0 0.0000 10.022
120 -2.4516 -1.3028 0 0.0000 10.043
121 -1.8972 -1.6558 0 0.0000 10.074
122 -1.6676 -1.2781 0 0.0000 10.102
123 -1.4916 -1.0396 0 0.0000 10.117
124 -1.6373 -1.2109 0 0.0000 10.114
125 -1.7575 -1.3358 0 0.0000 10.095
126 -1.7172 -1.3435 0 0.0000 10.063
127 -1.8121 -1.3936 0 0.0000 10.018
128 -1.8472 -1.4368 0 0.0000 9.961
129 -2.0506 -1.7408 0 0.0000 9.895
130 -2.2802 -1.6347 0 0.0000 9.824
131 -2.3686 -1.6817 0 0.0000 9.753
132 -2.4663 -1.7349 0 0.0000 9.684
133 -2.4240 -1.5918 0 0.0000 9.614
134 -2.3171 -1.5865 0 0.0000 9.564
135 -2.2144 -1.4735 0 0.0000 9.525
136 -2.2153 -1.4374 0 0.0000 9.481
137 -2.3499 -1.2667 0 0.0000 9.429
138 -2.6880 -0.8958 0 0.0000 9.370
139 -3.4225 -0.9931 0 0.0000 9.305
140 -3.9298 -1.4487 0 0.0000 9.234
141 -4.2334 -1.4663 0 0.0000 9.164
142 -4.0002 -1.5504 0 0.0000 9.119
143 -4.2254 -1.7403 0 0.0000 9.100
144 -4.3311 -1.8160 0 0.0000 9.093
145 -4.2921 -1.9020 0 0.0000 9.093
146 -4.7741 -2.1551 0 0.0000 9.090
147 -5.1956 -2.5402 0 0.0000 9.078
148 -5.3545 -2.5462 0 0.0000 9.054
149 -5.5998 -2.6944 0 0.0000 9.022
150 -5.8124 -2.7962 0 0.0000 8.984
151 -6.0350 -2.8622 0 0.0000 8.944
152 -5.9494 -2.8200 0 0.0000 8.904
153 -6.1009 -2.9787 0 0.0000 8.866
154 -5.7523 -2.8095 0 0.0000 8.831
155 -5.8485 -2.9060 0 0.0000 8.798
156 -5.6576 -2.8050 0 0.0000 8.767
157 -5.6495 -2.7968 0 0.0000 8.740
158 -5.5194 -2.7356 0 0.0000 8.715
159 -5.4628 -2.7301 0 0.0000 8.692
160 -5.4034 -2.6409 0 0.0000 8.671
161 -5.2537 -2.5149 0 0.0000 8.651
162 -5.3424 -2.6075 0 0.0000 8.632
163 -5.2199 -2.4248 0 0.0000 8.613
164 -4.6500 -1.9854 0 0.0000 8.594
165 -4.8258 -2.0337 0 0.0000 8.576
166 -4.6442 -1.9302 0 0.0000 8.559
167 -4.6290 -1.8944 0 0.0000 8.544
168 -4.1832 -1.6293 0 0.0000 8.530
169 -4.1200 -1.5703 0 0.0000 8.518
170 -4.0674 -1.5464 0 0.0000 8.507
171 -3.8267 -1.3887 0 0.0000 8.498
172 -3.8064 -1.3259 0 0.0000 8.490
173 -3.7430 -1.2162 0 0.0000 8.484
174 -3.4821 -1.0266 0 0.0000 8.479
175 -3.1719 -0.7625 0 0.0000 8.476
176 -3.1569 -0.7015 0 0.0000 8.476
177 -2.9435 -0.5134 0 0.0000 8.477
178 -2.6807 -0.4199 0 0.0000 8.478
179 -3.4080 -0.8147 0 0.0000 8.488
180 -3.5306 -0.8551 0 0.0000 8.503
181 -3.6324 -1.0045 0 0.0000 8.521
182 -4.1123 -1.2359 0 0.0000 8.545
183 -3.9437 -1.2305 0 0.0000 8.574
184 -4.4258 -1.6595 0 0.0000 8.610
185 -4.5392 -1.7735 0 0.0000 8.650
186 -4.6388 -1.8685 0 0.0000 8.694
187 -4.7734 -1.9377 0 0.0000 8.735
188 -4.7651 -1.9083 0 0.0000 8.767
189 -4.2901 -1.7683 0 0.0000 8.789
190 -4.9084 -1.9794 0 0.0000 8.801
191 -4.9564 -1.9492 0 0.0000 8.805
192 -4.6026 -1.7041 0 0.0000 8.803
193 -5.2358 -1.9577 0 0.0000 8.796
194 -5.2864 -1.9967 0 0.0000 8.786
195 -4.7848 -1.7549 0 0.0000 8.773
196 -4.9001 -1.7508 0 0.0000 8.759
197 -4.7116 -1.6490 0 0.0000 8.744
198 -4.4796 -1.5223 0 0.0000 8.730
199 -4.2724 -1.3868 0 0.0000 8.718
200 -3.9528 -1.2487 0 0.0000 8.707
201 -3.9411 -1.1976 0 0.0000 8.698
202 -3.7181 -1.1093 0 0.0000 8.692
203 -3.5348 -0.9203 0 0.0000 8.688
204 -2.8223 -0.4458 0 0.0000 8.689
205 -2.9210 -0.4317 0 0.0000 8.693
206 -2.2902 -0.1368 0 0.0000 8.701
207 -2.8594 -0.3581 0 0.0000 8.715
208 -2.7091 -0.2575 0 0.0000 8.732
209 -3.2998 -0.5838 0 0.0000 8.754
210 -3.5802 -0.8809 0 0.0000 8.777
211 -3.2512 -0.7346 0 0.0000 8.800
212 -4.6083 -1.4502 0 0.0000 8.832
213 -4.5513 -1.4682 0 0.0000 8.871
214 -4.5708 -1.6151 0 0.0000 8.912
215 -4.5677 -1.7342 0 0.0000 8.957
216 -4.3218 -1.5821 0 0.0000 9.000
217 -4.1788 -1.4623 0 0.0000 9.038
218 -3.9485 -1.4603 0 0.0000 9.065
219 -3.9791 -1.4446 0 0.0000 9.085
220 -4.7554 -1.8021 0 0.0000 9.098
221 -4.6322 -1.7562 0 0.0000 9.104
222 -3.9561 -1.3872 0 0.0000 9.106
223 -4.1067 -1.4403 0 0.0000 9.102
224 -4.7636 -1.6795 0 0.0000 9.096
225 -4.2787 -1.4135 0 0.0000 9.089
226 -4.7541 -1.5659 0 0.0000 9.080
