# step wm_danger det_logit danger fire dist_t
0 -6.8944 -3.0811 0 0.0000 24.021
1 0.5025 -0.3906 0 0.0000 6.082
2 0.6662 -0.0355 0 0.0000 6.082
3 0.3554 -0.0577 0 0.0000 6.086
4 -0.2128 -0.1101 0 0.0000 6.101
5 -0.5518 -0.1713 0 0.0000 6.128
6 -0.8449 -0.3864 0 0.0000 6.165
7 -0.5827 -0.1668 0 0.0000 6.212
8 -0.8530 -0.3959 0 0.0000 6.259
9 -0.8491 -0.5965 0 0.0000 6.303
10 -1.4560 -0.6860 0 0.0000 6.348
11 -1.7406 -0.9442 0 0.0000 6.387
12 -2.0016 -1.0532 0 0.0000 6.420
13 -2.4048 -1.4209 0 0.0000 6.450
14 -2.6761 -1.5719 0 0.0000 6.479
15 -2.6312 -1.5029 0 0.0000 6.507
16 -2.8445 -1.7356 0 0.0000 6.540
17 -2.5003 -1.4235 0 0.0000 6.572
18 -2.6706 -1.5118 0 0.0000 6.604
19 -2.8354 -1.8392 0 0.0000 6.638
20 -2.2806 -1.2776 0 0.0000 6.670
21 -2.4333 -1.4904 0 0.0000 6.701
22 -2.2428 -1.2105 0 0.0000 6.730
23 -2.2349 -1.5485 0 0.0000 6.757
24 -2.0365 -1.5284 0 0.0000 6.780
25 -1.6455 -1.0601 0 0.0000 6.800
26 -1.4496 -0.8018 0 0.0000 6.817
27 -1.3602 -0.9434 0 0.0000 6.832
28 -1.2455 -0.9901 0 0.0000 6.845
29 -1.0718 -0.5064 0 0.0000 6.858
30 -1.1589 -0.3757 0 0.0000 6.869
31 -1.0323 -0.3086 0 0.0000 6.878
32 -1.3057 -0.6467 1 0.0500 6.888
33 -1.5007 -1.2528 1 0.1000 6.896
34 -1.5905 -1.2329 1 0.1500 6.901
35 -1.5767 -1.0317 1 0.2000 6.903
36 -1.4213 -1.0865 1 0.2500 6.905
37 -1.6604 -1.1891 1 0.3000 6.908
38 -1.6734 -1.3050 1 0.3500 6.912
39 -1.9079 -1.4298 1 0.4000 6.918
40 -1.9198 -1.3312 1 0.4500 6.926
41 -1.9336 -1.2279 1 0.5000 6.937
42 -1.9190 -1.3275 1 0.5500 6.950
43 -1.9237 -1.3344 1 0.6000 6.968
44 -1.8131 -1.4103 1 0.6500 6.991
45 -1.7678 -1.3851 1 0.7000 7.019
46 -1.7336 -1.3765 1 0.7500 7.051
47 -1.6008 -1.4378 1 0.8000 7.090
48 -1.6332 -1.6659 0 0.0000 7.132
49 -1.9079 -2.1479 0 0.0000 7.179
50 -2.1810 -2.6326 0 0.0000 7.230
51 -2.4441 -2.9635 0 0.0000 7.286
52 -2.6274 -3.1276 0 0.0000 7.348
53 -2.7547 -3.2254 0 0.0000 7.409
54 -2.8495 -3.3649 0 0.0000 7.464
55 -2.8952 -3.4786 0 0.0000 7.509
56 -2.8957 -3.4789 0 0.0000 7.541
57 -2.8865 -3.4711 0 0.0000 7.557
58 -2.8877 -3.4634 0 0.0000 7.559
59 -2.8768 -3.4567 0 0.0000 7.548
60 -2.8781 -3.4631 0 0.0000 7.525
61 -2.8648 -3.4684 0 0.0000 7.491
62 -2.8781 -3.4768 0 0.0000 7.450
63 -2.8306 -3.3931 0 0.0000 7.402
64 -2.8209 -3.4193 0 0.0000 7.349
65 -2.8044 -3.4203 0 0.0000 7.292
66 -2.7918 -3.4166 0 0.0000 7.233
67 -2.7374 -3.3600 0 0.0000 7.172
68 -2.7461 -3.3775 0 0.0000 7.110
69 -2.7399 -3.3843 0 0.0000 7.046
70 -2.7358 -3.3573 0 0.0000 6.982
71 -2.7218 -3.3722 0 0.0000 6.916
72 -2.6804 -3.3507 0 0.0000 6.850
73 -2.6578 -3.3296 0 0.0000 6.784
74 -2.5894 -3.2883 0 0.0000 6.718
75 -2.5825 -3.2841 0 0.0000 6.651
76 -2.5219 -3.1982 0 0.0000 6.583
77 -2.6002 -3.2718 0 0.0000 6.515
78 -2.5252 -3.1071 0 0.0000 6.447
