# step wm_danger det_logit danger fire dist_t
0 -4.5959 -3.0729 0 0.0000 12.042
1 0.7373 0.0450 0 0.0000 17.000
2 0.8210 0.1303 0 0.0000 17.003
3 0.9227 0.2177 0 0.0000 17.008
4 0.9436 0.1795 0 0.0000 17.017
5 0.4637 -0.1339 0 0.0000 17.028
6 0.5459 0.0990 0 0.0000 17.045
7 0.2583 0.2156 0 0.0000 17.068
8 -0.2221 0.0596 0 0.0000 17.098
9 -0.4908 0.2543 0 0.0000 17.138
10 -1.0831 0.4010 0 0.0000 17.187
11 -1.1371 0.2372 0 0.0000 17.243
12 -1.2734 -0.1964 0 0.0000 17.302
13 -1.1133 -0.4097 0 0.0000 17.362
14 -1.0859 -0.6435 0 0.0000 17.421
15 -1.4531 -0.3374 0 0.0000 17.479
16 -1.8656 -0.5520 0 0.0000 17.534
17 -2.0996 -0.5815 0 0.0000 17.588
18 -1.9493 -0.7841 0 0.0000 17.638
19 -2.0350 -0.8793 0 0.0000 17.685
20 -2.2397 -0.9921 0 0.0000 17.731
21 -2.1057 -1.1784 0 0.0000 17.775
22 -1.4061 -0.9477 0 0.0000 17.817
23 -0.8852 -0.7914 0 0.0000 17.853
24 -0.8707 -0.5634 0 0.0000 17.876
25 -0.7588 -0.6214 0 0.0000 17.881
26 -1.0792 -0.7139 0 0.0000 17.867
27 -1.2670 -0.6525 0 0.0000 17.837
28 -1.2424 -0.8624 0 0.0000 17.791
29 -1.4126 -0.8559 0 0.0000 17.731
30 -1.4124 -0.8909 0 0.0000 17.659
31 -1.0913 -0.8317 0 0.0000 17.579
32 -1.3248 -1.1389 0 0.0000 17.550
33 -1.3061 -1.1649 0 0.0000 17.547
34 -1.2938 -0.9413 0 0.0000 17.532
35 -1.3374 -1.1758 0 0.0000 17.502
36 -1.2151 -1.1015 0 0.0000 17.475
37 -1.2757 -1.1062 0 0.0000 17.445
38 -1.2882 -0.9105 0 0.0000 17.403
39 -1.3122 -0.8670 0 0.0000 17.373
40 -1.3035 -0.9340 0 0.0000 17.346
41 -1.1737 -0.9247 0 0.0000 17.330
42 -1.7754 -0.8648 0 0.0000 17.317
43 -1.9593 -0.6072 0 0.0000 17.299
44 -2.1359 -0.6530 0 0.0000 17.293
45 -1.6351 -0.3323 0 0.0000 17.294
46 -1.7680 -0.5092 0 0.0000 17.305
47 -2.1992 -0.5895 0 0.0000 17.327
48 -2.1576 -0.6186 0 0.0000 17.361
49 -2.2846 -0.6823 0 0.0000 17.407
50 -2.4250 -0.6648 0 0.0000 17.464
51 -2.9399 -0.8917 0 0.0000 17.530
52 -2.7370 -1.0109 0 0.0000 17.600
53 -2.8109 -1.3316 0 0.0000 17.674
54 -2.8793 -1.4338 0 0.0000 17.749
55 -2.2162 -1.5433 0 0.0000 17.827
56 -1.5938 -0.8379 0 0.0000 17.902
57 -1.2169 -0.3335 0 0.0000 17.961
58 -0.8495 0.2254 0 0.0000 17.998
59 -0.6932 0.3538 0 0.0000 18.007
60 -0.6246 0.2774 0 0.0000 18.000
61 -0.1660 -0.0012 0 0.0000 17.974
62 -1.1141 -0.4506 0 0.0000 17.918
63 -1.5775 -0.9984 0 0.0000 17.842
64 -1.5958 -1.0360 0 0.0000 17.754
65 -1.9320 -1.2188 0 0.0000 17.660
66 -1.8029 -1.0985 0 0.0000 17.566
67 -1.7759 -1.1086 0 0.0000 17.531
68 -1.5640 -1.2290 0 0.0000 17.496
69 -1.4827 -1.1835 0 0.0000 17.455
70 -1.4578 -1.1085 0 0.0000 17.405
71 -1.4129 -1.0299 0 0.0000 17.345
72 -1.3478 -0.9189 0 0.0000 17.276
73 -1.2071 -0.8074 0 0.0000 17.203
74 -1.2783 -0.7024 0 0.0000 17.148
75 -1.3897 -0.5046 0 0.0000 17.114
76 -1.2710 -0.4833 0 0.0000 17.103
77 -0.7694 -0.4281 0 0.0000 17.110
78 -1.6770 -0.5329 0 0.0000 17.137
79 -2.0976 -0.6075 0 0.0000 17.181
80 -2.2406 -0.6920 0 0.0000 17.241
81 -2.4163 -0.9332 0 0.0000 17.313
82 -2.4216 -1.0198 0 0.0000 17.391
83 -2.2979 -1.1259 0 0.0000 17.473
84 -1.9814 -1.1290 0 0.0000 17.553
85 -1.9286 -1.1760 0 0.0000 17.630
86 -1.1690 -0.6981 0 0.0000 17.703
87 -1.0018 -0.4016 0 0.0000 17.762
88 -0.9353 -0.1921 0 0.0000 17.797
89 -0.9516 -0.0530 0 0.0000 17.809
90 -0.8462 -0.1131 0 0.0000 17.803
91 -0.6151 -0.2743 0 0.0000 17.777
92 -1.2595 -0.4385 0 0.0000 17.729
93 -1.3786 -0.7893 0 0.0000 17.665
94 -1.5235 -1.0640 0 0.0000 17.590
95 -1.7812 -1.2635 0 0.0000 17.535
96 -1.5117 -1.1637 0 0.0000 17.506
97 -1.3981 -1.1643 0 0.0000 17.471
98 -1.3322 -1.2110 0 0.0000 17.427
99 -1.2515 -1.1945 0 0.0000 17.372
100 -1.3099 -1.1110 0 0.0000 17.306
101 -1.3021 -1.1901 0 0.0000 17.232
102 -1.1476 -0.8870 0 0.0000 17.151
103 -1.1511 -0.8439 0 0.0000 17.065
104 -0.9188 -0.7571 0 0.0000 16.961
105 -1.2905 -0.5500 0 0.0000 16.848
106 -0.8835 -0.2266 0 0.0000 16.740
107 -0.3950 -0.1894 0 0.0000 16.646
108 -0.0356 0.0327 0 0.0000 16.578
109 -0.0789 -0.1290 0 0.0000 16.537
110 0.2625 -0.1358 0 0.0000 16.522
111 0.2407 -0.3831 0 0.0000 16.534
112 0.2771 -0.4525 0 0.0000 16.568
113 0.2358 -0.4715 0 0.0000 16.622
114 0.1762 -0.4613 0 0.0000 16.692
115 0.0413 -0.3087 0 0.0000 16.777
116 0.5225 0.2120 0 0.0000 16.871
117 0.0705 -0.3767 0 0.0000 16.974
118 -0.1853 -0.8069 0 0.0000 17.051
119 -0.6253 -1.1576 0 0.0000 17.095
120 -0.5364 -0.8782 0 0.0000 17.125
121 -0.2154 -0.2950 0 0.0000 17.143
122 -0.0337 0.0096 0 0.0000 17.161
123 -0.1068 -0.2135 0 0.0000 17.191
124 -0.4383 -0.1926 0 0.0000 17.240
125 -0.6035 -0.4558 0 0.0000 17.307
126 -0.6528 -0.2846 0 0.0000 17.389
127 -1.1212 -0.6671 0 0.0000 17.483
128 -0.8032 -0.8124 0 0.0000 17.584
129 -1.3231 -0.8674 0 0.0000 17.695
130 -1.4239 -1.0129 0 0.0000 17.810
131 -1.6069 -1.0779 0 0.0000 17.928
132 -1.9890 -1.4352 0 0.0000 18.045
133 -1.6402 -1.2227 0 0.0000 18.163
134 -1.5370 -1.2558 0 0.0000 18.279
135 -1.4454 -1.0510 0 0.0000 18.397
136 -0.7535 -0.6993 0 0.0000 18.515
137 -1.0283 -0.8257 0 0.0000 18.632
138 -0.4481 -0.5045 0 0.0000 18.748
139 -0.4011 -0.4785 0 0.0000 18.862
140 -0.6745 -0.7181 0 0.0000 18.974
141 -0.6634 -0.6627 0 0.0000 19.080
