# step wm_danger det_logit danger fire dist_t
0 0.1191 0.6728 0 0.0000 8.544
1 -0.9433 -0.1329 0 0.0000 12.042
2 -0.8333 -0.5297 0 0.0000 12.046
3 -0.3711 -0.4307 0 0.0000 12.054
4 -0.2494 -0.5228 0 0.0000 12.065
5 -0.3435 -0.3554 0 0.0000 12.076
6 -0.4216 -0.5997 0 0.0000 12.086
7 -0.7613 -0.6003 0 0.0000 12.096
8 -0.8425 -0.3254 0 0.0000 12.103
9 -1.1066 -0.6794 0 0.0000 12.107
10 -1.1419 -1.0249 0 0.0000 12.110
11 -1.5599 -0.7373 0 0.0000 12.114
12 -2.2322 -0.4396 0 0.0000 12.117
13 -2.5034 -0.1508 0 0.0000 12.117
14 -2.2105 -0.1920 0 0.0000 12.111
15 -2.4397 -0.3535 0 0.0000 12.097
16 -2.5823 -0.4029 0 0.0000 12.074
17 -2.6361 -0.5169 0 0.0000 12.039
18 -1.8916 -0.5230 0 0.0000 11.998
19 -1.4591 -0.7183 0 0.0000 11.960
20 -1.2181 -0.9240 0 0.0000 11.932
21 -1.1236 -1.1964 0 0.0000 11.914
22 -1.1251 -1.5051 0 0.0000 11.905
23 -1.2469 -1.8121 0 0.0000 11.901
24 -1.2789 -1.9198 0 0.0000 11.899
25 -1.2807 -2.0115 0 0.0000 11.892
26 -1.2999 -2.0552 0 0.0000 11.878
27 -1.3058 -2.1078 0 0.0000 11.857
28 -1.3121 -2.1404 0 0.0000 11.826
29 -1.3045 -2.1230 0 0.0000 11.780
30 -1.3213 -2.1771 0 0.0000 11.722
31 -1.3337 -2.1889 0 0.0000 11.650
32 -1.3508 -2.2021 0 0.0000 11.567
33 -1.3629 -2.2460 0 0.0000 11.475
34 -1.3966 -2.2976 0 0.0000 11.376
35 -1.4179 -2.3354 0 0.0000 11.270
36 -1.4509 -2.4064 0 0.0000 11.166
37 -1.3509 -2.2665 0 0.0000 11.196
38 -1.3635 -2.2296 0 0.0000 11.227
39 -1.3838 -2.2143 0 0.0000 11.240
40 -1.3888 -2.2152 0 0.0000 11.232
41 -1.3956 -2.2203 0 0.0000 11.203
42 -1.3720 -2.2040 0 0.0000 11.190
43 -1.3265 -2.1922 0 0.0000 11.181
44 -1.3223 -2.1916 0 0.0000 11.175
45 -1.3603 -2.1989 0 0.0000 11.172
46 -1.3348 -2.1848 0 0.0000 11.172
47 -1.3649 -2.1658 0 0.0000 11.172
48 -1.4289 -2.1414 0 0.0000 11.171
49 -1.4488 -2.1443 0 0.0000 11.172
50 -1.4388 -2.1393 0 0.0000 11.175
51 -1.4225 -2.1392 0 0.0000 11.180
52 -1.4396 -2.1656 0 0.0000 11.185
53 -1.4576 -2.2040 0 0.0000 11.187
54 -1.4589 -2.2365 0 0.0000 11.188
55 -1.4443 -2.2270 0 0.0000 11.187
56 -1.4222 -2.2042 0 0.0000 11.182
57 -1.4104 -2.1559 0 0.0000 11.175
58 -1.4305 -2.1634 0 0.0000 11.168
59 -1.4545 -2.1693 0 0.0000 11.161
60 -1.4761 -2.1807 0 0.0000 11.158
61 -1.4561 -2.1721 0 0.0000 11.159
62 -1.4571 -2.1858 0 0.0000 11.163
63 -1.4564 -2.2174 0 0.0000 11.169
64 -1.4472 -2.2241 0 0.0000 11.175
65 -1.4398 -2.2240 0 0.0000 11.179
66 -1.4312 -2.2142 0 0.0000 11.182
67 -1.4407 -2.2044 0 0.0000 11.183
68 -1.4102 -2.1871 0 0.0000 11.182
69 -1.4060 -2.1392 0 0.0000 11.179
70 -1.3948 -2.1031 0 0.0000 11.176
71 -1.4256 -2.1353 0 0.0000 11.172
72 -1.4557 -2.1420 0 0.0000 11.168
73 -1.4688 -2.1873 0 0.0000 11.167
74 -1.4577 -2.2114 0 0.0000 11.167
75 -1.4361 -2.2166 0 0.0000 11.171
76 -1.4215 -2.2172 0 0.0000 11.174
77 -1.4283 -2.2211 0 0.0000 11.177
78 -1.4354 -2.1977 0 0.0000 11.178
79 -1.4472 -2.1871 0 0.0000 11.179
80 -1.4580 -2.2044 0 0.0000 11.178
81 -1.4527 -2.1870 0 0.0000 11.178
82 -1.4167 -2.1603 0 0.0000 11.178
83 -1.4388 -2.1677 0 0.0000 11.176
84 -1.4332 -2.1734 0 0.0000 11.175
85 -1.4434 -2.1748 0 0.0000 11.175
86 -1.4314 -2.1863 0 0.0000 11.176
87 -1.4488 -2.2040 0 0.0000 11.176
88 -1.4526 -2.2155 0 0.0000 11.177
89 -1.4340 -2.2007 0 0.0000 11.179
90 -1.4368 -2.2024 0 0.0000 11.181
91 -1.4266 -2.2007 0 0.0000 11.183
92 -1.4642 -2.2179 0 0.0000 11.184
93 -1.4659 -2.2152 0 0.0000 11.183
94 -1.4584 -2.2135 0 0.0000 11.183
95 -1.4528 -2.2043 0 0.0000 11.183
96 -1.4546 -2.2017 0 0.0000 11.183
97 -1.4688 -2.2117 0 0.0000 11.183
98 -1.4544 -2.1956 0 0.0000 11.181
99 -1.4382 -2.1933 0 0.0000 11.178
100 -1.4198 -2.1788 0 0.0000 11.176
101 -1.4157 -2.1658 0 0.0000 11.174
102 -1.4349 -2.1796 0 0.0000 11.173
103 -1.4215 -2.1648 0 0.0000 11.175
104 -1.4367 -2.2020 0 0.0000 11.177
105 -1.4532 -2.2127 0 0.0000 11.179
106 -1.4238 -2.1866 0 0.0000 11.181
107 -1.4145 -2.1859 0 0.0000 11.181
108 -1.4404 -2.1756 0 0.0000 11.180
109 -1.4272 -2.1615 0 0.0000 11.180
110 -1.4378 -2.1790 0 0.0000 11.179
111 -1.4533 -2.1924 0 0.0000 11.179
112 -1.4378 -2.1921 0 0.0000 11.179
113 -1.4510 -2.2152 0 0.0000 11.180
