# step wm_danger det_logit danger fire dist_t
0 0.6100 -1.1956 0 0.0000 8.544
1 0.0373 0.0183 0 0.0000 12.041
2 0.1656 0.1073 0 0.0000 12.034
3 -0.0165 0.0479 0 0.0000 12.019
4 -0.1049 0.0028 0 0.0000 11.993
5 -0.2141 -0.0588 0 0.0000 11.957
6 -0.5000 -0.1873 0 0.0000 11.913
7 -0.7770 -0.2961 0 0.0000 11.862
8 -0.8982 -0.3342 0 0.0000 11.805
9 -1.1298 -0.4418 0 0.0000 11.744
10 -1.3687 -0.5609 0 0.0000 11.680
11 -1.7339 -0.7397 0 0.0000 11.614
12 -1.9005 -0.8433 0 0.0000 11.547
13 -2.0250 -0.9322 0 0.0000 11.478
14 -2.1777 -1.0348 0 0.0000 11.409
15 -2.3323 -1.1399 0 0.0000 11.339
16 -2.4239 -1.2011 0 0.0000 11.269
17 -2.5239 -1.2804 0 0.0000 11.199
18 -2.6228 -1.3580 0 0.0000 11.130
19 -2.7049 -1.4279 0 0.0000 11.060
20 -2.7826 -1.4874 0 0.0000 10.990
21 -2.8608 -1.5550 0 0.0000 10.920
22 -2.9474 -1.6377 0 0.0000 10.850
23 -2.9467 -1.7121 0 0.0000 10.780
24 -2.8042 -1.7601 0 0.0000 10.710
25 -2.6678 -1.8251 0 0.0000 10.641
26 -2.5639 -1.8794 0 0.0000 10.571
27 -2.3962 -1.8989 0 0.0000 10.501
28 -2.1786 -1.9583 0 0.0000 10.432
29 -2.0336 -1.9850 0 0.0000 10.362
30 -1.8513 -2.0034 0 0.0000 10.292
31 -1.6687 -2.0408 0 0.0000 10.223
32 -1.4444 -2.0226 0 0.0000 10.153
33 -1.2807 -2.0214 0 0.0000 10.083
34 -1.0696 -1.9884 0 0.0000 10.014
35 -0.9023 -1.9926 0 0.0000 9.944
36 -0.6776 -1.9706 0 0.0000 9.874
37 -0.4825 -1.9262 0 0.0000 9.805
38 -0.3114 -1.8950 0 0.0000 9.735
39 -0.0686 -1.8417 0 0.0000 9.665
40 0.0562 -1.8068 0 0.0000 9.596
41 0.1753 -1.7953 0 0.0000 9.526
42 0.2958 -1.7464 0 0.0000 9.457
43 0.5521 -1.6376 0 0.0000 9.387
44 0.6767 -1.5783 0 0.0000 9.317
45 0.8276 -1.4985 0 0.0000 9.248
46 1.0219 -1.3771 0 0.0000 9.178
47 1.1951 -1.2637 0 0.0000 9.109
48 1.3491 -1.1394 0 0.0000 9.039
49 1.4642 -1.0425 0 0.0000 8.970
50 1.5743 -0.9379 0 0.0000 8.900
51 1.7060 -0.8168 0 0.0000 8.831
52 1.8001 -0.7188 0 0.0000 8.761
53 1.9117 -0.5828 0 0.0000 8.692
54 2.0050 -0.4407 0 0.0000 8.622
55 2.0715 -0.3071 0 0.0000 8.553
56 2.1250 -0.1572 0 0.0000 8.483
57 2.1469 -0.0033 0 0.0000 8.414
58 2.1511 0.1104 0 0.0000 8.344
59 2.1714 0.2819 0 0.0000 8.275
60 2.1744 0.4507 0 0.0000 8.205
61 2.1344 0.5921 0 0.0000 8.136
62 2.1434 0.7440 0 0.0000 8.066
63 2.1593 0.8733 1 0.0500 7.997
64 2.1789 1.0316 1 0.1000 7.927
65 2.1769 1.1649 1 0.1500 7.858
66 2.1507 1.2943 1 0.2000 7.789
67 2.1475 1.4054 1 0.2500 7.719
68 2.1569 1.5147 1 0.3000 7.650
69 2.1721 1.6421 1 0.3500 7.580
70 2.1720 1.7734 1 0.4000 7.511
71 2.1434 1.8475 1 0.4500 7.442
72 2.1592 1.9381 1 0.5000 7.372
73 2.2174 2.0427 1 0.5500 7.303
74 2.2596 2.1522 1 0.6000 7.234
75 2.2724 2.2490 1 0.6500 7.164
76 2.2862 2.3347 1 0.7000 7.095
77 2.2268 2.3391 1 0.7500 7.026
78 2.1965 2.3514 1 0.8000 6.957
79 2.1845 2.4126 1 0.8500 6.887
80 2.0846 2.4183 1 0.9000 6.818
81 2.0061 2.4249 1 0.9500 6.749
82 1.9749 2.4502 0 1.0000 6.680
83 2.0576 2.5819 0 1.0000 6.605
84 1.6179 2.2120 0 1.0000 6.521
85 1.9738 2.2592 0 1.0000 6.433
86 1.8304 2.0447 0 1.0000 6.349
87 2.3171 2.4505 0 1.0000 6.276
88 1.0525 0.1370 0 1.0000 6.206
89 0.3784 -1.7086 0 1.0000 6.182
90 0.8659 -0.6976 0 1.0000 6.159
91 0.5442 -1.1901 0 1.0000 6.160
92 0.5483 -1.3287 0 1.0000 6.160
93 0.5901 -1.2861 0 1.0000 6.160
94 0.5943 -1.2396 0 1.0000 6.160
95 0.6134 -1.2186 0 1.0000 6.160
96 0.5880 -1.2338 0 1.0000 6.160
97 0.5482 -1.2956 0 1.0000 6.160
