# step wm_danger det_logit danger fire dist_t
0 1.7283 1.2248 0 0.0000 6.083
1 -1.0098 0.3441 0 0.0000 12.041
2 -1.3687 0.0484 0 0.0000 12.034
3 -1.3420 -0.0553 0 0.0000 12.019
4 -1.4746 -0.0894 0 0.0000 11.993
5 -1.7144 -0.2046 0 0.0000 11.957
6 -1.8382 -0.3481 0 0.0000 11.913
7 -1.9989 -0.4688 0 0.0000 11.862
8 -2.1163 -0.5290 0 0.0000 11.805
9 -2.2325 -0.6353 0 0.0000 11.744
10 -2.3069 -0.7378 0 0.0000 11.680
11 -2.3905 -0.8682 0 0.0000 11.614
12 -2.4804 -0.9777 0 0.0000 11.547
13 -2.5683 -1.0837 0 0.0000 11.478
14 -2.6215 -1.1639 0 0.0000 11.409
15 -2.6692 -1.2469 0 0.0000 11.339
16 -2.7276 -1.3600 0 0.0000 11.269
17 -2.7976 -1.4691 0 0.0000 11.199
18 -2.9339 -1.6274 0 0.0000 11.130
19 -3.0546 -1.7692 0 0.0000 11.060
20 -2.9846 -1.8354 0 0.0000 10.990
21 -2.8886 -1.9037 0 0.0000 10.920
22 -2.8072 -1.9917 0 0.0000 10.850
23 -2.7041 -2.0512 0 0.0000 10.780
24 -2.6097 -2.1156 0 0.0000 10.710
25 -2.4935 -2.1500 0 0.0000 10.641
26 -2.4038 -2.1878 0 0.0000 10.571
27 -2.2945 -2.2186 0 0.0000 10.501
28 -2.0856 -2.2548 0 0.0000 10.432
29 -1.9739 -2.2573 0 0.0000 10.362
30 -1.8631 -2.2780 0 0.0000 10.292
31 -1.7368 -2.2749 0 0.0000 10.223
32 -1.5992 -2.2462 0 0.0000 10.153
33 -1.4672 -2.2194 0 0.0000 10.083
34 -1.3312 -2.1974 0 0.0000 10.014
35 -1.1433 -2.1359 0 0.0000 9.944
36 -0.9955 -2.0936 0 0.0000 9.874
37 -0.8523 -2.0115 0 0.0000 9.805
38 -0.7067 -1.9398 0 0.0000 9.735
39 -0.5361 -1.8509 0 0.0000 9.665
40 -0.4257 -1.7982 0 0.0000 9.596
41 -0.3176 -1.7360 0 0.0000 9.526
42 -0.2456 -1.6861 0 0.0000 9.457
43 -0.1209 -1.5821 0 0.0000 9.387
44 -0.0109 -1.4581 0 0.0000 9.318
45 0.0660 -1.3825 0 0.0000 9.248
46 0.1388 -1.2934 0 0.0000 9.178
47 0.1850 -1.2409 0 0.0000 9.109
48 0.2479 -1.1559 0 0.0000 9.039
49 0.3056 -1.0594 0 0.0000 8.970
50 0.3522 -0.9471 0 0.0000 8.900
51 0.3975 -0.8373 0 0.0000 8.831
52 0.4364 -0.7053 0 0.0000 8.761
53 0.4504 -0.5901 0 0.0000 8.692
54 0.4590 -0.4707 0 0.0000 8.622
55 0.4687 -0.3486 0 0.0000 8.553
56 0.4684 -0.2665 0 0.0000 8.483
57 0.4944 -0.1709 0 0.0000 8.414
58 0.5273 -0.0596 0 0.0000 8.344
59 0.5478 0.0370 0 0.0000 8.275
60 0.5630 0.1838 0 0.0000 8.205
61 0.5561 0.2848 0 0.0000 8.136
62 0.5729 0.3717 0 0.0000 8.066
63 0.5973 0.4647 1 0.0500 7.997
64 0.6002 0.5634 1 0.1000 7.927
65 0.6188 0.6667 1 0.1500 7.858
66 0.6078 0.7683 1 0.2000 7.789
67 0.6309 0.8556 1 0.2500 7.719
68 0.6679 0.9392 1 0.3000 7.650
69 0.6873 1.0094 1 0.3500 7.581
70 0.7076 1.0990 1 0.4000 7.511
71 0.6971 1.1545 1 0.4500 7.442
72 0.6915 1.2035 1 0.5000 7.372
73 0.7308 1.2755 1 0.5500 7.303
74 0.7149 1.3216 1 0.6000 7.234
75 0.6935 1.3660 1 0.6500 7.165
76 0.6884 1.4104 1 0.7000 7.095
77 0.6461 1.4427 1 0.7500 7.026
78 0.5768 1.4615 1 0.8000 6.957
79 0.5346 1.5086 1 0.8500 6.887
80 0.5209 1.5747 1 0.9000 6.818
81 0.4749 1.6007 1 0.9500 6.749
82 0.3576 1.5853 0 1.0000 6.680
83 0.3593 1.6048 0 1.0000 6.605
84 0.5516 1.4449 0 1.0000 6.520
85 0.6854 1.1880 0 1.0000 6.428
86 0.9694 1.2719 0 1.0000 6.336
87 0.7196 0.9570 0 1.0000 6.250
88 0.2654 0.5253 0 1.0000 6.224
89 0.4187 0.2192 0 1.0000 6.310
90 0.4973 0.1920 0 1.0000 6.319
91 0.3831 0.0582 0 1.0000 6.291
92 0.4786 0.1725 0 1.0000 6.293
93 0.4106 0.1441 0 1.0000 6.293
94 0.4596 0.1804 0 1.0000 6.293
95 0.4718 0.1979 0 1.0000 6.293
96 0.4668 0.1810 0 1.0000 6.293
97 0.4826 0.1848 0 1.0000 6.293
