# step wm_danger det_logit danger fire dist_t
0 -1.6809 -2.0072 0 0.0000 13.454
1 -0.3982 0.5674 0 0.0000 12.041
2 -0.6099 0.6359 0 0.0000 12.034
3 -0.4878 0.7140 0 0.0000 12.019
4 -0.8910 0.5930 0 0.0000 11.993
5 -1.1260 0.4760 0 0.0000 11.957
6 -1.2878 0.3543 0 0.0000 11.913
7 -1.3882 0.2963 0 0.0000 11.862
8 -1.5452 0.1889 0 0.0000 11.805
9 -1.7663 0.0753 0 0.0000 11.744
10 -1.9316 -0.0176 0 0.0000 11.680
11 -2.2152 -0.1891 0 0.0000 11.614
12 -2.4394 -0.3376 0 0.0000 11.547
13 -2.5958 -0.4531 0 0.0000 11.478
14 -2.7773 -0.5826 0 0.0000 11.409
15 -2.9236 -0.6856 0 0.0000 11.339
16 -3.1176 -0.8282 0 0.0000 11.269
17 -3.3280 -0.9901 0 0.0000 11.199
18 -3.5217 -1.1560 0 0.0000 11.130
19 -3.7452 -1.3465 0 0.0000 11.060
20 -3.9175 -1.5045 0 0.0000 10.990
21 -4.0579 -1.6357 0 0.0000 10.920
22 -4.0360 -1.7454 0 0.0000 10.850
23 -3.8940 -1.8800 0 0.0000 10.780
24 -3.7323 -2.0187 0 0.0000 10.710
25 -3.5331 -2.1154 0 0.0000 10.641
26 -3.3528 -2.1679 0 0.0000 10.571
27 -3.1955 -2.2341 0 0.0000 10.501
28 -2.9681 -2.2882 0 0.0000 10.432
29 -2.7576 -2.3575 0 0.0000 10.362
30 -2.5776 -2.3858 0 0.0000 10.292
31 -2.3750 -2.4428 0 0.0000 10.223
32 -2.1822 -2.4868 0 0.0000 10.153
33 -1.9306 -2.4910 0 0.0000 10.083
34 -1.7131 -2.4661 0 0.0000 10.014
35 -1.4646 -2.4365 0 0.0000 9.944
36 -1.2078 -2.3861 0 0.0000 9.874
37 -1.0037 -2.3687 0 0.0000 9.805
38 -0.7599 -2.2746 0 0.0000 9.735
39 -0.4826 -2.1914 0 0.0000 9.665
40 -0.2250 -2.0943 0 0.0000 9.596
41 -0.1030 -2.0592 0 0.0000 9.526
42 -0.0410 -2.0328 0 0.0000 9.457
43 0.2573 -1.8404 0 0.0000 9.387
44 0.4481 -1.7143 0 0.0000 9.317
45 0.6047 -1.5878 0 0.0000 9.248
46 0.7785 -1.4259 0 0.0000 9.178
47 0.9018 -1.2960 0 0.0000 9.109
48 1.0140 -1.1519 0 0.0000 9.039
49 1.1319 -0.9788 0 0.0000 8.970
50 1.2286 -0.8243 0 0.0000 8.900
51 1.2963 -0.6734 0 0.0000 8.831
52 1.3332 -0.5103 0 0.0000 8.761
53 1.3670 -0.3710 0 0.0000 8.692
54 1.4267 -0.2028 0 0.0000 8.622
55 1.4487 -0.0561 0 0.0000 8.553
56 1.4654 0.1131 0 0.0000 8.483
57 1.4542 0.2457 0 0.0000 8.414
58 1.4412 0.3804 0 0.0000 8.344
59 1.4461 0.4590 0 0.0000 8.275
60 1.5269 0.6391 0 0.0000 8.205
61 1.5659 0.7851 0 0.0000 8.136
62 1.5718 0.9279 0 0.0000 8.066
63 1.5817 1.0670 1 0.0500 7.997
64 1.6346 1.2279 1 0.1000 7.927
65 1.7057 1.3898 1 0.1500 7.858
66 1.7098 1.4948 1 0.2000 7.789
67 1.6851 1.5844 1 0.2500 7.719
68 1.7051 1.6699 1 0.3000 7.650
69 1.7642 1.7508 1 0.3500 7.580
70 1.7350 1.7531 1 0.4000 7.511
71 1.7144 1.7637 1 0.4500 7.442
72 1.7419 1.8288 1 0.5000 7.372
73 1.7383 1.8523 1 0.5500 7.303
74 1.7334 1.8905 1 0.6000 7.234
75 1.6645 1.8635 1 0.6500 7.164
76 1.5841 1.8289 1 0.7000 7.095
77 1.5058 1.7801 1 0.7500 7.026
78 1.4626 1.7747 1 0.8000 6.956
79 1.3700 1.7189 1 0.8500 6.887
80 1.2371 1.6295 1 0.9000 6.818
81 1.1151 1.5347 1 0.9500 6.749
82 0.9618 1.4172 0 1.0000 6.680
83 1.0370 1.5146 0 1.0000 6.604
84 1.3782 1.8928 0 1.0000 6.519
85 2.0002 2.5065 0 1.0000 6.428
86 1.8756 2.1873 0 1.0000 6.336
87 1.8099 2.1263 0 1.0000 6.254
88 0.6551 0.2488 0 1.0000 6.193
89 0.2773 -1.2895 0 1.0000 6.197
90 0.6852 0.0314 0 1.0000 6.185
91 0.4086 -0.7082 0 1.0000 6.183
92 0.2368 -0.6135 0 1.0000 6.183
93 0.3321 -0.3021 0 1.0000 6.185
94 0.3747 0.1310 0 1.0000 6.187
95 0.2153 -0.7319 0 1.0000 6.189
96 0.2227 -0.8179 0 1.0000 6.189
97 0.2214 -0.8917 0 1.0000 6.189
