# step wm_danger det_logit danger fire dist_t
0 0.1839 1.0952 0 0.0000 25.475
1 -1.1919 -0.0443 0 0.0000 12.041
2 -2.1438 -0.3155 0 0.0000 12.034
3 -2.7880 -0.4598 0 0.0000 12.019
4 -3.2241 -0.6954 0 0.0000 11.993
5 -3.3954 -0.8666 0 0.0000 11.957
6 -3.7623 -1.1099 0 0.0000 11.913
7 -3.7966 -1.1186 0 0.0000 11.862
8 -3.6450 -1.0309 0 0.0000 11.805
9 -3.8103 -1.2179 0 0.0000 11.744
10 -3.8764 -1.3970 0 0.0000 11.680
11 -4.1817 -1.6846 0 0.0000 11.614
12 -4.1501 -1.8388 0 0.0000 11.547
13 -4.2096 -1.9533 0 0.0000 11.478
14 -4.2383 -1.9957 0 0.0000 11.409
15 -4.2763 -2.0688 0 0.0000 11.339
16 -4.3467 -2.1597 0 0.0000 11.269
17 -4.4192 -2.2682 0 0.0000 11.199
18 -4.6480 -2.4509 0 0.0000 11.130
19 -4.4530 -2.5476 0 0.0000 11.060
20 -4.2539 -2.5965 0 0.0000 10.990
21 -4.0923 -2.6347 0 0.0000 10.920
22 -3.9218 -2.6652 0 0.0000 10.850
23 -3.7469 -2.6839 0 0.0000 10.780
24 -3.6086 -2.7216 0 0.0000 10.710
25 -3.3817 -2.7429 0 0.0000 10.641
26 -3.2420 -2.7900 0 0.0000 10.571
27 -3.0683 -2.8209 0 0.0000 10.501
28 -2.8348 -2.8490 0 0.0000 10.432
29 -2.6594 -2.8535 0 0.0000 10.362
30 -2.4905 -2.8407 0 0.0000 10.292
31 -2.2619 -2.7988 0 0.0000 10.223
32 -2.0848 -2.7897 0 0.0000 10.153
33 -1.9336 -2.7542 0 0.0000 10.083
34 -1.7625 -2.7054 0 0.0000 10.014
35 -1.5340 -2.6339 0 0.0000 9.944
36 -1.3965 -2.5943 0 0.0000 9.874
37 -1.2432 -2.5390 0 0.0000 9.805
38 -1.1169 -2.4794 0 0.0000 9.735
39 -1.0136 -2.4187 0 0.0000 9.665
40 -0.9092 -2.3505 0 0.0000 9.596
41 -0.8016 -2.2781 0 0.0000 9.526
42 -0.6996 -2.2129 0 0.0000 9.457
43 -0.5725 -2.0985 0 0.0000 9.387
44 -0.4783 -1.9947 0 0.0000 9.317
45 -0.4207 -1.8945 0 0.0000 9.248
46 -0.3171 -1.7441 0 0.0000 9.178
47 -0.2945 -1.6275 0 0.0000 9.109
48 -0.2712 -1.5104 0 0.0000 9.039
49 -0.2244 -1.3519 0 0.0000 8.970
50 -0.2168 -1.2008 0 0.0000 8.900
51 -0.1939 -1.0685 0 0.0000 8.831
52 -0.1734 -0.9220 0 0.0000 8.761
53 -0.1658 -0.7948 0 0.0000 8.692
54 -0.1274 -0.6443 0 0.0000 8.622
55 -0.1201 -0.5291 0 0.0000 8.553
56 -0.1035 -0.3957 0 0.0000 8.483
57 -0.0994 -0.2848 0 0.0000 8.414
58 -0.0886 -0.1652 0 0.0000 8.344
59 -0.0661 -0.0599 0 0.0000 8.275
60 0.0015 0.0965 0 0.0000 8.205
61 -0.0051 0.2096 0 0.0000 8.136
62 -0.0172 0.2662 0 0.0000 8.066
63 -0.0043 0.3493 1 0.0500 7.997
64 0.0087 0.4210 1 0.1000 7.927
65 0.0268 0.4886 1 0.1500 7.858
66 0.0353 0.5535 1 0.2000 7.789
67 0.0392 0.6134 1 0.2500 7.719
68 0.0389 0.6602 1 0.3000 7.650
69 0.0124 0.6922 1 0.3500 7.580
70 0.0185 0.7554 1 0.4000 7.511
71 -0.0406 0.7667 1 0.4500 7.442
72 -0.0600 0.8035 1 0.5000 7.372
73 -0.1092 0.8025 1 0.5500 7.303
74 -0.1750 0.7952 1 0.6000 7.234
75 -0.2213 0.8005 1 0.6500 7.164
76 -0.2632 0.8102 1 0.7000 7.095
77 -0.3376 0.7835 1 0.7500 7.026
78 -0.4065 0.7666 1 0.8000 6.956
79 -0.4720 0.7502 1 0.8500 6.887
80 -0.5610 0.7319 1 0.9000 6.818
81 -0.6227 0.7270 1 0.9500 6.749
82 -0.7062 0.6967 0 1.0000 6.680
83 -0.4225 0.8535 0 1.0000 6.604
84 -0.0626 1.0895 0 1.0000 6.519
85 0.5105 1.2384 0 1.0000 6.429
86 0.8170 1.1990 0 1.0000 6.341
87 1.1381 1.3830 0 1.0000 6.264
88 -0.0937 0.7613 0 1.0000 6.174
89 0.7872 1.4553 0 1.0000 6.103
90 0.6060 1.1110 0 1.0000 6.052
91 0.2810 0.8544 0 1.0000 6.037
92 0.6188 1.0174 0 1.0000 6.048
93 0.8526 1.3150 0 1.0000 6.088
94 0.8836 1.4848 0 1.0000 6.158
95 0.8104 1.4414 0 1.0000 6.175
96 0.9835 1.5164 0 1.0000 6.176
97 1.0311 1.5411 0 1.0000 6.176
