# step wm_danger det_logit danger fire dist_t
0 1.0981 1.5752 0 0.0000 24.759
1 1.6168 1.3577 0 0.0000 12.041
2 0.3713 0.6776 0 0.0000 12.034
3 0.5395 0.7480 0 0.0000 12.019
4 0.3968 0.6349 0 0.0000 11.993
5 0.5117 0.6786 0 0.0000 11.957
6 0.5126 0.6406 0 0.0000 11.913
7 0.3976 0.5787 0 0.0000 11.862
8 0.1548 0.4071 0 0.0000 11.805
9 -0.0327 0.1284 0 0.0000 11.744
10 -0.2477 -0.2117 0 0.0000 11.680
11 -0.2947 -0.3454 0 0.0000 11.614
12 -0.3467 -0.4999 0 0.0000 11.547
13 -0.2792 -0.5564 0 0.0000 11.478
14 -0.2137 -0.5636 0 0.0000 11.409
15 -0.1894 -0.5801 0 0.0000 11.339
16 -0.1513 -0.6043 0 0.0000 11.269
17 -0.0969 -0.5996 0 0.0000 11.200
18 -0.0012 -0.5416 0 0.0000 11.130
19 0.0289 -0.5311 0 0.0000 11.060
20 0.0614 -0.4907 0 0.0000 10.990
21 0.1733 -0.4368 0 0.0000 10.920
22 0.2280 -0.4178 0 0.0000 10.850
23 0.2122 -0.4639 0 0.0000 10.780
24 0.2739 -0.4308 0 0.0000 10.711
25 0.3490 -0.4069 0 0.0000 10.641
26 0.4013 -0.3724 0 0.0000 10.571
27 0.3932 -0.4213 0 0.0000 10.501
28 0.4074 -0.4226 0 0.0000 10.432
29 0.4761 -0.3725 0 0.0000 10.362
30 0.4801 -0.3897 0 0.0000 10.292
31 0.5313 -0.3663 0 0.0000 10.223
32 0.6053 -0.3055 0 0.0000 10.153
33 0.6798 -0.2806 0 0.0000 10.083
34 0.7135 -0.2889 0 0.0000 10.014
35 0.7826 -0.2038 0 0.0000 9.944
36 0.8474 -0.1432 0 0.0000 9.875
37 0.8580 -0.1593 0 0.0000 9.805
38 0.9086 -0.1233 0 0.0000 9.736
39 0.9642 -0.0866 0 0.0000 9.666
40 0.9852 -0.0476 0 0.0000 9.596
41 0.9624 -0.0655 0 0.0000 9.527
42 0.9797 -0.0360 0 0.0000 9.457
43 1.0893 0.0178 0 0.0000 9.388
44 1.1813 0.1018 0 0.0000 9.318
45 1.2315 0.1490 0 0.0000 9.249
46 1.2850 0.2439 0 0.0000 9.179
47 1.3259 0.2939 0 0.0000 9.110
48 1.3932 0.3961 0 0.0000 9.040
49 1.4344 0.4387 0 0.0000 8.971
50 1.4586 0.4862 0 0.0000 8.901
51 1.5093 0.5739 0 0.0000 8.832
52 1.5678 0.6633 0 0.0000 8.762
53 1.6047 0.6977 0 0.0000 8.693
54 1.6642 0.7966 0 0.0000 8.623
55 1.6844 0.8347 0 0.0000 8.554
56 1.7113 0.8994 0 0.0000 8.484
57 1.7445 0.9472 0 0.0000 8.415
58 1.7549 0.9866 0 0.0000 8.345
59 1.7360 0.9553 0 0.0000 8.276
60 1.8524 1.1399 0 0.0000 8.207
61 1.8499 1.1579 0 0.0000 8.137
62 1.8979 1.2440 0 0.0000 8.068
63 1.9210 1.2810 1 0.0500 7.998
64 1.9692 1.3541 1 0.1000 7.929
65 1.9566 1.3573 1 0.1500 7.860
66 1.9946 1.4156 1 0.2000 7.790
67 2.0163 1.4446 1 0.2500 7.721
68 2.0564 1.4831 1 0.3000 7.652
69 2.0757 1.4926 1 0.3500 7.582
70 2.1909 1.6142 1 0.4000 7.513
71 2.1785 1.6063 1 0.4500 7.444
72 2.1634 1.5772 1 0.5000 7.374
73 2.1918 1.6022 1 0.5500 7.305
74 2.2036 1.6116 1 0.6000 7.236
75 2.2061 1.5940 1 0.6500 7.167
76 2.1735 1.5338 1 0.7000 7.097
77 2.1502 1.4949 1 0.7500 7.028
78 2.1788 1.5306 1 0.8000 6.959
79 2.2034 1.5517 1 0.8500 6.890
80 2.2223 1.5550 1 0.9000 6.820
81 2.1644 1.4743 1 0.9500 6.751
82 2.0873 1.3693 0 1.0000 6.682
83 2.0700 1.3803 0 1.0000 6.607
84 2.2230 1.5644 0 1.0000 6.522
85 2.6076 2.1470 0 1.0000 6.432
86 2.5236 2.0239 0 1.0000 6.343
87 2.1840 1.9847 0 1.0000 6.263
88 1.0847 0.9586 0 1.0000 6.208
89 1.9323 1.5228 0 1.0000 6.202
90 1.6810 1.2421 0 1.0000 6.195
91 2.2570 1.8141 0 1.0000 6.195
92 2.1087 1.6863 0 1.0000 6.196
93 1.6872 1.4022 0 1.0000 6.196
94 1.3884 1.1705 0 1.0000 6.196
95 1.4441 1.1848 0 1.0000 6.196
96 1.2457 1.0266 0 1.0000 6.196
97 1.2477 1.0183 0 1.0000 6.196
