# step wm_danger det_logit danger fire dist_t
0 0.4050 -0.0163 0 0.0000 12.042
1 0.3746 0.6116 0 0.0000 24.020
2 0.2398 0.4968 0 0.0000 24.014
3 0.3425 0.5318 0 0.0000 23.998
4 0.1261 0.4106 0 0.0000 23.972
5 -0.0266 0.3452 0 0.0000 23.936
6 -0.2682 0.2181 0 0.0000 23.892
7 -0.5341 0.0794 0 0.0000 23.841
8 -0.7122 -0.0336 0 0.0000 23.784
9 -0.8439 -0.1418 0 0.0000 23.723
10 -1.0141 -0.2777 0 0.0000 23.659
11 -1.1908 -0.4405 0 0.0000 23.592
12 -1.4050 -0.6055 0 0.0000 23.524
13 -1.5728 -0.7325 0 0.0000 23.456
14 -1.7201 -0.8610 0 0.0000 23.386
15 -1.8539 -0.9642 0 0.0000 23.316
16 -1.9901 -1.0703 0 0.0000 23.246
17 -2.1452 -1.1950 0 0.0000 23.176
18 -2.3065 -1.3219 0 0.0000 23.106
19 -2.4681 -1.4859 0 0.0000 23.036
20 -2.5535 -1.5832 0 0.0000 22.966
21 -2.6605 -1.6877 0 0.0000 22.896
22 -2.7609 -1.7887 0 0.0000 22.826
23 -2.7259 -1.9014 0 0.0000 22.756
24 -2.6392 -2.0173 0 0.0000 22.686
25 -2.5691 -2.1064 0 0.0000 22.616
26 -2.4970 -2.1868 0 0.0000 22.546
27 -2.4197 -2.2315 0 0.0000 22.476
28 -2.2670 -2.3479 0 0.0000 22.406
29 -2.1025 -2.4110 0 0.0000 22.336
30 -1.9958 -2.4593 0 0.0000 22.266
31 -1.8632 -2.4828 0 0.0000 22.196
32 -1.7037 -2.5183 0 0.0000 22.126
33 -1.5592 -2.5368 0 0.0000 22.056
34 -1.4355 -2.5450 0 0.0000 21.986
35 -1.2666 -2.5570 0 0.0000 21.917
36 -1.1715 -2.5509 0 0.0000 21.847
37 -1.0104 -2.5349 0 0.0000 21.777
38 -0.9020 -2.5151 0 0.0000 21.707
39 -0.7533 -2.4767 0 0.0000 21.637
40 -0.6870 -2.4430 0 0.0000 21.567
41 -0.5911 -2.4104 0 0.0000 21.497
42 -0.4932 -2.3649 0 0.0000 21.427
43 -0.3695 -2.2869 0 0.0000 21.357
44 -0.3026 -2.1912 0 0.0000 21.287
45 -0.2533 -2.1256 0 0.0000 21.217
46 -0.2647 -2.1099 0 0.0000 21.147
47 -0.2262 -2.0523 0 0.0000 21.077
48 -0.1563 -1.9549 0 0.0000 21.008
49 -0.1128 -1.8684 0 0.0000 20.938
50 -0.0958 -1.7861 0 0.0000 20.868
51 -0.0518 -1.6925 0 0.0000 20.798
52 -0.0431 -1.6123 0 0.0000 20.728
53 -0.0485 -1.5251 0 0.0000 20.658
54 -0.0239 -1.4003 0 0.0000 20.588
55 -0.0409 -1.2985 0 0.0000 20.518
56 -0.0646 -1.1923 0 0.0000 20.448
57 -0.0671 -1.0559 0 0.0000 20.378
58 -0.0480 -0.9420 0 0.0000 20.308
59 -0.0128 -0.8010 0 0.0000 20.238
60 -0.0087 -0.6710 0 0.0000 20.169
61 -0.0604 -0.5773 0 0.0000 20.099
62 -0.0626 -0.4980 0 0.0000 20.029
63 -0.0577 -0.4135 0 0.0000 19.959
64 -0.1122 -0.3688 0 0.0000 19.889
65 -0.1335 -0.2861 0 0.0000 19.819
66 -0.1382 -0.2163 0 0.0000 19.749
67 -0.1361 -0.1842 0 0.0000 19.679
68 -0.0967 -0.1236 0 0.0000 19.609
69 -0.1024 -0.1136 0 0.0000 19.539
70 -0.1342 -0.1043 0 0.0000 19.469
71 -0.1982 -0.1223 0 0.0000 19.400
72 -0.2489 -0.1331 0 0.0000 19.330
73 -0.2844 -0.1437 0 0.0000 19.260
74 -0.3276 -0.1559 0 0.0000 19.190
75 -0.3794 -0.1789 0 0.0000 19.120
76 -0.4703 -0.2414 0 0.0000 19.050
77 -0.5382 -0.2761 0 0.0000 18.980
78 -0.6360 -0.3364 0 0.0000 18.910
79 -0.7195 -0.3994 0 0.0000 18.840
80 -0.8338 -0.4856 0 0.0000 18.770
81 -0.8687 -0.5270 0 0.0000 18.701
82 -0.9693 -0.5924 0 0.0000 18.631
83 -1.1270 -0.7161 0 0.0000 18.561
84 -1.2870 -0.8503 0 0.0000 18.491
85 -1.3887 -0.9379 0 0.0000 18.421
86 -1.5337 -1.0443 0 0.0000 18.351
87 -1.6635 -1.1421 0 0.0000 18.281
88 -1.7664 -1.2268 0 0.0000 18.211
89 -1.9157 -1.3457 0 0.0000 18.142
90 -2.0400 -1.4514 0 0.0000 18.072
91 -2.1472 -1.5449 0 0.0000 18.002
92 -2.2694 -1.6461 0 0.0000 17.932
93 -2.4116 -1.7682 0 0.0000 17.862
94 -2.4974 -1.8505 0 0.0000 17.792
95 -2.5895 -1.9425 0 0.0000 17.722
96 -2.6889 -2.0300 0 0.0000 17.652
97 -2.7759 -2.1203 0 0.0000 17.582
98 -2.8953 -2.2417 0 0.0000 17.513
99 -2.9739 -2.3343 0 0.0000 17.443
100 -3.0961 -2.4542 0 0.0000 17.373
101 -3.1669 -2.5414 0 0.0000 17.303
102 -3.2500 -2.6094 0 0.0000 17.233
103 -3.2916 -2.7087 0 0.0000 17.163
104 -3.2463 -2.7660 0 0.0000 17.093
105 -3.1796 -2.8160 0 0.0000 17.023
106 -3.0954 -2.8552 0 0.0000 16.954
107 -3.0185 -2.9057 0 0.0000 16.884
108 -2.9304 -2.9472 0 0.0000 16.814
109 -2.8332 -2.9827 0 0.0000 16.744
110 -2.7420 -3.0198 0 0.0000 16.674
111 -2.6383 -3.0453 0 0.0000 16.604
112 -2.5271 -3.0666 0 0.0000 16.534
113 -2.4279 -3.0710 0 0.0000 16.464
114 -2.3183 -3.0535 0 0.0000 16.395
115 -2.2154 -3.0131 0 0.0000 16.325
116 -2.1165 -3.0242 0 0.0000 16.255
117 -2.0324 -3.0148 0 0.0000 16.185
118 -1.9434 -2.9994 0 0.0000 16.115
119 -1.8874 -2.9868 0 0.0000 16.045
120 -1.7935 -2.9165 0 0.0000 15.975
121 -1.7216 -2.8190 0 0.0000 15.905
122 -1.6368 -2.7551 0 0.0000 15.836
123 -1.5484 -2.7054 0 0.0000 15.766
124 -1.4433 -2.6331 0 0.0000 15.696
125 -1.3571 -2.5205 0 0.0000 15.626
126 -1.2724 -2.4131 0 0.0000 15.556
127 -1.1958 -2.3546 0 0.0000 15.486
128 -1.0776 -2.2510 0 0.0000 15.416
129 -1.0018 -2.0644 0 0.0000 15.347
130 -0.9642 -1.9409 0 0.0000 15.277
131 -0.9374 -1.8241 0 0.0000 15.207
132 -0.9157 -1.6933 0 0.0000 15.137
133 -0.8644 -1.5713 0 0.0000 15.067
134 -0.8286 -1.4451 0 0.0000 14.997
135 -0.8354 -1.3333 0 0.0000 14.928
136 -0.7951 -1.2302 0 0.0000 14.858
137 -0.8003 -1.1546 0 0.0000 14.788
138 -0.7874 -1.0536 0 0.0000 14.718
139 -0.7541 -0.9452 0 0.0000 14.648
140 -0.7462 -0.8404 0 0.0000 14.578
141 -0.7727 -0.7624 0 0.0000 14.508
142 -0.7724 -0.6578 0 0.0000 14.439
143 -0.7796 -0.6215 0 0.0000 14.369
144 -0.7578 -0.5305 0 0.0000 14.299
145 -0.7131 -0.4330 0 0.0000 14.229
146 -0.6478 -0.3092 0 0.0000 14.159
147 -0.6218 -0.2265 0 0.0000 14.090
148 -0.5617 -0.1468 0 0.0000 14.020
