# step wm_danger det_logit danger fire dist_t
0 1.9678 1.6731 0 0.0000 18.028
1 -0.0434 0.0134 0 0.0000 12.041
2 0.0301 -0.0442 0 0.0000 12.034
3 0.0059 0.0181 0 0.0000 12.019
4 -0.0651 -0.0094 0 0.0000 11.993
5 -0.2155 -0.0534 0 0.0000 11.957
6 -0.4389 -0.1551 0 0.0000 11.913
7 -0.7373 -0.2634 0 0.0000 11.862
8 -0.9613 -0.3420 0 0.0000 11.805
9 -1.1707 -0.4443 0 0.0000 11.744
10 -1.4265 -0.5737 0 0.0000 11.680
11 -1.7511 -0.7375 0 0.0000 11.614
12 -1.9562 -0.8724 0 0.0000 11.547
13 -2.0985 -0.9790 0 0.0000 11.478
14 -2.2111 -1.0679 0 0.0000 11.409
15 -2.3523 -1.1597 0 0.0000 11.339
16 -2.5007 -1.2561 0 0.0000 11.269
17 -2.6091 -1.3462 0 0.0000 11.199
18 -2.7226 -1.4396 0 0.0000 11.130
19 -2.7963 -1.5006 0 0.0000 11.060
20 -2.8738 -1.5714 0 0.0000 10.990
21 -2.9551 -1.6361 0 0.0000 10.920
22 -2.8533 -1.6922 0 0.0000 10.850
23 -2.7403 -1.7425 0 0.0000 10.780
24 -2.5976 -1.7662 0 0.0000 10.710
25 -2.4354 -1.8047 0 0.0000 10.641
26 -2.3056 -1.8207 0 0.0000 10.571
27 -2.1927 -1.8460 0 0.0000 10.501
28 -1.9475 -1.8847 0 0.0000 10.432
29 -1.8336 -1.9106 0 0.0000 10.362
30 -1.6672 -1.9444 0 0.0000 10.292
31 -1.5048 -1.9636 0 0.0000 10.223
32 -1.2801 -1.9356 0 0.0000 10.153
33 -1.1160 -1.9355 0 0.0000 10.083
34 -0.8809 -1.9042 0 0.0000 10.014
35 -0.7550 -1.9155 0 0.0000 9.944
36 -0.5644 -1.8885 0 0.0000 9.874
37 -0.3347 -1.8312 0 0.0000 9.805
38 -0.1555 -1.7835 0 0.0000 9.735
39 0.0730 -1.7268 0 0.0000 9.665
40 0.2071 -1.6873 0 0.0000 9.596
41 0.3611 -1.6407 0 0.0000 9.526
42 0.4517 -1.6089 0 0.0000 9.457
43 0.7612 -1.4838 0 0.0000 9.387
44 0.9421 -1.3621 0 0.0000 9.317
45 1.0681 -1.2883 0 0.0000 9.248
46 1.2450 -1.1590 0 0.0000 9.178
47 1.4100 -1.0280 0 0.0000 9.109
48 1.5454 -0.9226 0 0.0000 9.039
49 1.6892 -0.8042 0 0.0000 8.970
50 1.7834 -0.7093 0 0.0000 8.900
51 1.9013 -0.5893 0 0.0000 8.831
52 1.9984 -0.4727 0 0.0000 8.761
53 2.0954 -0.3474 0 0.0000 8.692
54 2.1814 -0.1900 0 0.0000 8.622
55 2.2519 -0.0427 0 0.0000 8.553
56 2.2817 0.0876 0 0.0000 8.483
57 2.2910 0.2376 0 0.0000 8.414
58 2.3009 0.3613 0 0.0000 8.344
59 2.2785 0.4931 0 0.0000 8.275
60 2.2607 0.6455 0 0.0000 8.205
61 2.2324 0.7662 0 0.0000 8.136
62 2.2666 0.9054 0 0.0000 8.066
63 2.2823 1.0355 1 0.0500 7.997
64 2.2699 1.1536 1 0.1000 7.927
65 2.2412 1.2691 1 0.1500 7.858
66 2.2195 1.4067 1 0.2000 7.789
67 2.2404 1.5341 1 0.2500 7.719
68 2.2414 1.6565 1 0.3000 7.650
69 2.2403 1.7552 1 0.3500 7.580
70 2.2263 1.8474 1 0.4000 7.511
71 2.1917 1.9089 1 0.4500 7.442
72 2.1872 1.9720 1 0.5000 7.372
73 2.2255 2.0597 1 0.5500 7.303
74 2.2629 2.1695 1 0.6000 7.234
75 2.2684 2.2708 1 0.6500 7.164
76 2.2677 2.3424 1 0.7000 7.095
77 2.2096 2.3580 1 0.7500 7.026
78 2.1840 2.3847 1 0.8000 6.957
79 2.1615 2.4361 1 0.8500 6.887
80 2.1056 2.4834 1 0.9000 6.818
81 2.0065 2.4680 1 0.9500 6.749
82 1.9025 2.4198 0 1.0000 6.680
83 2.0144 2.6317 0 1.0000 6.604
84 2.1543 2.7841 0 1.0000 6.518
85 2.0551 2.3833 0 1.0000 6.427
86 1.9757 2.0651 0 1.0000 6.335
87 1.2864 1.1199 0 1.0000 6.252
88 1.3004 1.2074 0 1.0000 6.257
89 1.6596 1.3953 0 1.0000 6.297
90 1.7253 1.3538 0 1.0000 6.308
91 1.5171 -0.2659 0 1.0000 6.275
92 1.3780 0.0204 0 1.0000 6.271
93 1.3775 -0.1909 0 1.0000 6.271
94 1.3779 -0.4228 0 1.0000 6.271
95 1.3751 -0.4504 0 1.0000 6.271
96 1.3870 -0.4147 0 1.0000 6.271
97 1.3721 -0.4966 0 1.0000 6.271
