# step wm_danger det_logit danger fire dist_t
0 1.3787 -0.5025 0 0.0000 24.021
1 0.8079 1.2370 0 0.0000 18.027
2 0.7558 1.1311 0 0.0000 18.021
3 0.2814 0.8861 0 0.0000 18.005
4 0.2863 0.8307 0 0.0000 17.979
5 0.4167 0.9164 0 0.0000 17.943
6 0.7105 1.0959 0 0.0000 17.899
7 0.8150 1.1640 0 0.0000 17.848
8 0.8082 1.2069 0 0.0000 17.791
9 0.8695 1.2602 0 0.0000 17.730
10 0.6531 1.0877 0 0.0000 17.666
11 0.5255 0.9617 0 0.0000 17.599
12 0.3061 0.7724 0 0.0000 17.532
13 0.1995 0.6798 0 0.0000 17.463
14 0.0845 0.5704 0 0.0000 17.394
15 -0.1047 0.4213 0 0.0000 17.324
16 -0.2716 0.2998 0 0.0000 17.254
17 -0.4700 0.1441 0 0.0000 17.184
18 -0.5997 0.0401 0 0.0000 17.114
19 -0.6143 0.0354 0 0.0000 17.044
20 -0.7429 -0.0568 0 0.0000 16.974
21 -0.8745 -0.1570 0 0.0000 16.904
22 -0.9767 -0.2381 0 0.0000 16.834
23 -1.1030 -0.3393 0 0.0000 16.764
24 -1.1912 -0.4191 0 0.0000 16.694
25 -1.3165 -0.5142 0 0.0000 16.624
26 -1.4663 -0.6245 0 0.0000 16.554
27 -1.5677 -0.7055 0 0.0000 16.484
28 -1.5400 -0.7062 0 0.0000 16.414
29 -1.6000 -0.7699 0 0.0000 16.344
30 -1.7157 -0.8552 0 0.0000 16.274
31 -1.8208 -0.9347 0 0.0000 16.205
32 -1.9305 -1.0143 0 0.0000 16.135
33 -2.0400 -1.0974 0 0.0000 16.065
34 -2.1392 -1.1814 0 0.0000 15.995
35 -2.1409 -1.2105 0 0.0000 15.925
36 -2.2182 -1.2772 0 0.0000 15.855
37 -2.2875 -1.3384 0 0.0000 15.785
38 -2.3382 -1.3960 0 0.0000 15.715
39 -2.3208 -1.4267 0 0.0000 15.646
40 -2.2123 -1.4669 0 0.0000 15.576
41 -2.1233 -1.5168 0 0.0000 15.506
42 -2.0978 -1.5467 0 0.0000 15.436
43 -1.9772 -1.5205 0 0.0000 15.366
44 -1.8685 -1.5385 0 0.0000 15.296
45 -1.7267 -1.5455 0 0.0000 15.227
46 -1.6410 -1.5504 0 0.0000 15.157
47 -1.5519 -1.5742 0 0.0000 15.087
48 -1.4648 -1.5812 0 0.0000 15.017
49 -1.3880 -1.5975 0 0.0000 14.947
50 -1.2907 -1.6091 0 0.0000 14.877
51 -1.1882 -1.6065 0 0.0000 14.808
52 -1.1230 -1.6006 0 0.0000 14.738
53 -1.0092 -1.5827 0 0.0000 14.668
54 -0.9022 -1.5708 0 0.0000 14.598
55 -0.8082 -1.5487 0 0.0000 14.528
56 -0.7727 -1.5439 0 0.0000 14.459
57 -0.6888 -1.5369 0 0.0000 14.389
58 -0.6207 -1.5231 0 0.0000 14.319
59 -0.5300 -1.5175 0 0.0000 14.249
60 -0.4622 -1.4912 0 0.0000 14.179
61 -0.3698 -1.4621 0 0.0000 14.109
62 -0.2478 -1.4167 0 0.0000 14.040
63 -0.1487 -1.3722 0 0.0000 13.970
64 -0.1211 -1.3511 0 0.0000 13.900
65 -0.0955 -1.3416 0 0.0000 13.830
66 -0.0334 -1.3069 0 0.0000 13.760
67 0.0098 -1.2557 0 0.0000 13.691
