# step wm_danger det_logit danger fire dist_t
0 nan nan 0 0.0000 18.028
1 nan nan 0 0.0000 1.006
2 nan nan 0 0.0000 1.011
3 nan nan 0 0.0000 1.016
4 nan nan 0 0.0000 1.021
5 nan nan 0 0.0000 1.027
6 nan nan 0 0.0000 1.034
7 nan nan 0 0.0000 1.045
8 nan nan 1 0.0500 1.059
9 nan nan 1 0.1000 1.077
10 nan nan 1 0.1500 1.099
11 nan nan 1 0.2000 1.125
12 nan nan 1 0.2500 1.154
13 nan nan 1 0.3000 1.187
14 nan nan 1 0.3500 1.222
15 nan nan 1 0.4000 1.260
16 nan nan 1 0.4500 1.300
17 nan nan 1 0.5000 1.342
18 nan nan 1 0.5500 1.387
19 nan nan 1 0.6000 1.433
20 nan nan 1 0.6500 1.481
21 nan nan 1 0.7000 1.530
22 nan nan 1 0.7500 1.581
23 nan nan 1 0.8000 1.634
24 nan nan 1 0.8500 1.687
25 nan nan 1 0.9000 1.742
26 nan nan 1 0.9500 1.798
27 nan nan 0 1.0000 1.855
28 nan nan 0 1.0000 1.892
29 nan nan 0 1.0000 1.897
30 nan nan 0 1.0000 1.885
31 nan nan 0 1.0000 1.880
32 nan nan 0 1.0000 1.914
33 nan nan 0 1.0000 1.939
34 nan nan 0 1.0000 1.844
35 nan nan 0 1.0000 1.843
36 nan nan 0 1.0000 1.842
37 nan nan 0 1.0000 1.842
38 nan nan 0 1.0000 1.842
39 nan nan 0 1.0000 1.842
40 nan nan 0 1.0000 1.842
41 nan nan 0 1.0000 1.842
42 nan nan 0 1.0000 1.842
