# step wm_danger det_logit danger fire dist_t
0 nan nan 0 0.0000 17.000
1 nan nan 0 0.0000 6.084
2 nan nan 0 0.0000 6.089
3 nan nan 0 0.0000 6.101
4 nan nan 0 0.0000 6.120
5 nan nan 0 0.0000 6.144
6 nan nan 0 0.0000 6.173
7 nan nan 0 0.0000 6.203
8 nan nan 0 0.0000 6.235
9 nan nan 0 0.0000 6.265
10 nan nan 0 0.0000 6.295
11 nan nan 0 0.0000 6.323
12 nan nan 0 0.0000 6.349
13 nan nan 0 0.0000 6.373
14 nan nan 0 0.0000 6.396
15 nan nan 0 0.0000 6.417
16 nan nan 0 0.0000 6.437
17 nan nan 0 0.0000 6.456
18 nan nan 0 0.0000 6.475
19 nan nan 0 0.0000 6.493
20 nan nan 0 0.0000 6.510
21 nan nan 0 0.0000 6.528
22 nan nan 0 0.0000 6.546
23 nan nan 0 0.0000 6.564
24 nan nan 0 0.0000 6.582
25 nan nan 0 0.0000 6.601
26 nan nan 0 0.0000 6.620
27 nan nan 1 0.0500 6.640
28 nan nan 1 0.1000 6.661
29 nan nan 1 0.1500 6.681
30 nan nan 0 0.0000 6.702
31 nan nan 0 0.0000 6.723
32 nan nan 0 0.0000 6.743
33 nan nan 0 0.0000 6.763
34 nan nan 0 0.0000 6.784
35 nan nan 0 0.0000 6.804
36 nan nan 0 0.0000 6.824
37 nan nan 0 0.0000 6.843
38 nan nan 0 0.0000 6.863
39 nan nan 0 0.0000 6.883
40 nan nan 0 0.0000 6.903
41 nan nan 0 0.0000 6.924
42 nan nan 0 0.0000 6.945
43 nan nan 0 0.0000 6.967
44 nan nan 0 0.0000 6.989
45 nan nan 0 0.0000 7.012
46 nan nan 0 0.0000 7.036
47 nan nan 0 0.0000 7.061
48 nan nan 0 0.0000 7.087
49 nan nan 0 0.0000 7.113
50 nan nan 0 0.0000 7.141
51 nan nan 0 0.0000 7.169
52 nan nan 0 0.0000 7.198
53 nan nan 0 0.0000 7.227
54 nan nan 0 0.0000 7.257
55 nan nan 0 0.0000 7.288
56 nan nan 0 0.0000 7.319
57 nan nan 0 0.0000 7.350
58 nan nan 0 0.0000 7.381
59 nan nan 0 0.0000 7.411
60 nan nan 0 0.0000 7.442
61 nan nan 0 0.0000 7.472
62 nan nan 0 0.0000 7.502
63 nan nan 0 0.0000 7.532
64 nan nan 0 0.0000 7.562
65 nan nan 0 0.0000 7.590
66 nan nan 0 0.0000 7.620
67 nan nan 0 0.0000 7.650
68 nan nan 0 0.0000 7.681
69 nan nan 0 0.0000 7.712
70 nan nan 0 0.0000 7.742
71 nan nan 0 0.0000 7.767
72 nan nan 0 0.0000 7.787
73 nan nan 0 0.0000 7.800
74 nan nan 0 0.0000 7.805
75 nan nan 0 0.0000 7.803
76 nan nan 0 0.0000 7.792
77 nan nan 0 0.0000 7.774
78 nan nan 0 0.0000 7.749
79 nan nan 0 0.0000 7.719
80 nan nan 0 0.0000 7.683
81 nan nan 0 0.0000 7.643
82 nan nan 0 0.0000 7.599
83 nan nan 0 0.0000 7.553
84 nan nan 0 0.0000 7.505
85 nan nan 0 0.0000 7.454
86 nan nan 0 0.0000 7.403
87 nan nan 0 0.0000 7.350
88 nan nan 0 0.0000 7.297
89 nan nan 0 0.0000 7.244
90 nan nan 0 0.0000 7.191
91 nan nan 0 0.0000 7.138
92 nan nan 0 0.0000 7.086
93 nan nan 0 0.0000 7.035
94 nan nan 0 0.0000 6.985
95 nan nan 0 0.0000 6.936
96 nan nan 0 0.0000 6.890
97 nan nan 0 0.0000 6.845
98 nan nan 0 0.0000 6.802
99 nan nan 0 0.0000 6.762
100 nan nan 0 0.0000 6.723
101 nan nan 0 0.0000 6.687
102 nan nan 0 0.0000 6.652
103 nan nan 0 0.0000 6.619
104 nan nan 0 0.0000 6.587
105 nan nan 0 0.0000 6.557
106 nan nan 0 0.0000 6.529
107 nan nan 0 0.0000 6.501
108 nan nan 0 0.0000 6.475
109 nan nan 0 0.0000 6.450
110 nan nan 0 0.0000 6.425
111 nan nan 0 0.0000 6.401
112 nan nan 0 0.0000 6.378
113 nan nan 0 0.0000 6.355
114 nan nan 0 0.0000 6.333
115 nan nan 0 0.0000 6.311
116 nan nan 0 0.0000 6.289
117 nan nan 0 0.0000 6.267
118 nan nan 1 0.0500 6.245
119 nan nan 1 0.1000 6.224
120 nan nan 1 0.1500 6.202
121 nan nan 1 0.2000 6.181
122 nan nan 1 0.2500 6.161
123 nan nan 1 0.3000 6.141
124 nan nan 1 0.3500 6.122
125 nan nan 1 0.4000 6.104
126 nan nan 1 0.4500 6.087
127 nan nan 1 0.5000 6.071
128 nan nan 1 0.5500 6.056
129 nan nan 1 0.6000 6.043
130 nan nan 1 0.6500 6.031
131 nan nan 1 0.7000 6.021
132 nan nan 1 0.7500 6.011
133 nan nan 1 0.8000 6.004
134 nan nan 1 0.8500 5.997
135 nan nan 1 0.9000 5.992
136 nan nan 1 0.9500 5.989
137 nan nan 0 1.0000 5.987
138 nan nan 0 1.0000 5.980
139 nan nan 0 1.0000 5.962
140 nan nan 0 1.0000 5.938
141 nan nan 0 1.0000 5.914
142 nan nan 0 1.0000 5.899
143 nan nan 0 1.0000 5.945
144 nan nan 0 1.0000 5.978
145 nan nan 0 1.0000 5.993
146 nan nan 0 1.0000 5.971
147 nan nan 0 1.0000 5.969
148 nan nan 0 1.0000 5.969
149 nan nan 0 1.0000 5.969
150 nan nan 0 1.0000 5.969
151 nan nan 0 1.0000 5.969
152 nan nan 0 1.0000 5.969
