# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 1.8046 1.1080 0 0.0000 19.000 -6.00 -6.00 1.45 0.32 1.12
1 2.5596 2.1563 0 0.0000 12.041 0.18 -12.26 1.57 1.57 0.00
2 1.8568 1.6754 0 0.0000 12.033 0.18 -12.25 1.57 1.57 0.00
3 1.4141 1.2152 0 0.0000 12.016 0.18 -12.24 1.57 1.57 0.00
4 1.3066 1.1683 0 0.0000 11.991 0.18 -12.21 1.57 1.57 0.00
5 1.2871 1.1274 0 0.0000 11.958 0.17 -12.18 1.56 1.57 0.01
6 1.1241 0.9967 0 0.0000 11.913 0.17 -12.13 1.56 1.57 0.01
7 1.0032 0.8570 0 0.0000 11.858 0.17 -12.08 1.56 1.57 0.01
8 0.9928 0.7504 0 0.0000 11.794 0.16 -12.01 1.56 1.57 0.01
9 0.8166 0.6299 0 0.0000 11.724 0.15 -11.94 1.56 1.57 0.00
10 0.7269 0.5335 0 0.0000 11.651 0.15 -11.87 1.56 1.57 0.00
11 0.6126 0.4059 0 0.0000 11.575 0.14 -11.79 1.56 1.57 0.00
12 0.5007 0.2785 0 0.0000 11.496 0.14 -11.71 1.56 1.57 0.00
13 0.4211 0.2566 0 0.0000 11.413 0.13 -11.63 1.57 1.57 0.00
14 0.4678 0.3075 0 0.0000 11.331 0.12 -11.55 1.57 1.57 0.00
15 0.3897 0.2680 0 0.0000 11.254 0.11 -11.47 1.57 1.56 0.00
16 0.2689 0.1398 0 0.0000 11.182 0.11 -11.40 1.57 1.56 0.00
17 0.0008 -0.0566 0 0.0000 11.113 0.10 -11.33 1.57 1.56 0.00
18 -0.1377 -0.1426 0 0.0000 11.045 0.09 -11.26 1.57 1.56 0.01
19 -0.1939 -0.2054 0 0.0000 10.975 0.09 -11.19 1.57 1.56 0.01
20 -0.2765 -0.2458 0 0.0000 10.903 0.08 -11.12 1.57 1.56 0.01
21 -0.3445 -0.3621 0 0.0000 10.830 0.07 -11.05 1.57 1.56 0.01
22 -0.4354 -0.4190 0 0.0000 10.755 0.06 -10.97 1.57 1.56 0.01
23 -0.4952 -0.4594 0 0.0000 10.677 0.06 -10.89 1.57 1.56 0.01
24 -0.4815 -0.5280 0 0.0000 10.598 0.05 -10.81 1.57 1.56 0.01
25 -0.5570 -0.6033 0 0.0000 10.517 0.05 -10.73 1.57 1.56 0.01
26 -0.6063 -0.6436 0 0.0000 10.435 0.04 -10.65 1.57 1.56 0.01
27 -0.6225 -0.7181 0 0.0000 10.353 0.04 -10.57 1.57 1.56 0.01
28 -0.5698 -0.7710 0 0.0000 10.270 0.03 -10.48 1.57 1.56 0.01
29 -0.4872 -0.8649 0 0.0000 10.186 0.03 -10.40 1.57 1.56 0.02
30 -0.4112 -0.9018 0 0.0000 10.100 0.02 -10.31 1.57 1.56 0.02
31 -0.3642 -0.9518 0 0.0000 10.013 0.02 -10.22 1.57 1.55 0.02
32 -0.2608 -0.9053 0 0.0000 9.925 0.02 -10.14 1.57 1.55 0.02
33 -0.2083 -0.9647 0 0.0000 9.838 0.01 -10.05 1.57 1.55 0.02
34 -0.1460 -1.0268 0 0.0000 9.752 0.01 -9.96 1.57 1.55 0.02
35 -0.0877 -1.0719 0 0.0000 9.664 0.01 -9.87 1.57 1.55 0.02
36 -0.0100 -1.0437 0 0.0000 9.575 0.01 -9.78 1.57 1.55 0.02
37 0.1196 -0.9684 0 0.0000 9.484 0.01 -9.69 1.57 1.55 0.02
38 0.1825 -0.9547 0 0.0000 9.393 0.02 -9.60 1.57 1.55 0.02
39 0.2461 -0.9459 0 0.0000 9.302 0.02 -9.51 1.57 1.55 0.02
40 0.3302 -0.9715 0 0.0000 9.212 0.02 -9.42 1.58 1.55 0.02
41 0.4317 -0.8931 0 0.0000 9.121 0.02 -9.33 1.58 1.55 0.02
42 0.4704 -0.8436 0 0.0000 9.031 0.02 -9.24 1.58 1.55 0.02
43 0.5178 -0.7928 0 0.0000 8.939 0.01 -9.15 1.58 1.55 0.02
44 0.5778 -0.7326 0 0.0000 8.848 0.01 -9.05 1.58 1.55 0.03
45 0.6974 -0.6030 0 0.0000 8.756 0.01 -8.96 1.58 1.55 0.03
46 0.7161 -0.5619 0 0.0000 8.664 0.01 -8.87 1.58 1.55 0.03
47 0.7177 -0.5522 0 0.0000 8.573 0.01 -8.78 1.58 1.55 0.03
48 0.7511 -0.5052 0 0.0000 8.482 0.01 -8.69 1.58 1.55 0.03
49 0.9416 -0.2133 0 0.0000 8.389 0.01 -8.59 1.58 1.55 0.03
50 0.9377 -0.1842 0 0.0000 8.298 0.01 -8.50 1.58 1.55 0.03
51 0.9742 -0.0992 0 0.0000 8.206 0.01 -8.41 1.58 1.55 0.03
52 0.9660 -0.0678 0 0.0000 8.115 0.01 -8.32 1.58 1.55 0.03
53 0.9641 0.0058 0 0.0000 8.023 0.01 -8.22 1.58 1.55 0.03
54 0.9866 0.0921 1 0.0500 7.930 0.01 -8.13 1.58 1.55 0.03
55 1.0695 0.2518 1 0.1000 7.837 0.01 -8.04 1.58 1.55 0.03
56 1.0567 0.3054 1 0.1500 7.745 0.01 -7.94 1.58 1.55 0.03
57 1.0788 0.4267 1 0.2000 7.652 0.01 -7.85 1.58 1.55 0.03
58 1.1757 0.6428 1 0.2500 7.560 0.01 -7.76 1.58 1.55 0.03
59 1.2296 0.7559 1 0.3000 7.468 0.01 -7.66 1.58 1.55 0.03
60 1.2547 0.8185 1 0.3500 7.378 0.01 -7.57 1.58 1.55 0.03
61 1.1960 0.8150 1 0.4000 7.291 0.01 -7.49 1.58 1.55 0.03
62 1.1399 0.8558 1 0.4500 7.207 0.01 -7.40 1.58 1.55 0.03
63 1.0960 0.8657 1 0.5000 7.124 0.01 -7.32 1.58 1.55 0.03
64 1.0489 0.8762 1 0.5500 7.040 0.01 -7.23 1.58 1.55 0.03
65 1.1767 1.0282 1 0.6000 6.954 0.01 -7.15 1.58 1.55 0.03
66 1.1773 1.0319 1 0.6500 6.868 0.01 -7.06 1.58 1.55 0.03
67 1.2101 1.0941 1 0.7000 6.781 0.01 -6.97 1.58 1.55 0.03
68 1.1574 1.0388 1 0.7500 6.693 0.02 -6.88 1.58 1.55 0.03
69 1.1226 1.0408 1 0.8000 6.607 0.02 -6.79 1.58 1.55 0.03
70 1.1465 1.0979 1 0.8500 6.522 0.02 -6.71 1.58 1.55 0.03
71 1.1465 1.1510 1 0.9000 6.437 0.02 -6.62 1.58 1.55 0.03
72 1.1199 1.1766 1 0.9500 6.351 0.02 -6.54 1.58 1.54 0.04
73 1.0695 1.1289 0 1.0000 6.264 0.01 -6.45 1.58 1.54 0.04
74 1.1642 1.1702 0 1.0000 6.171 0.01 -6.36 1.59 1.54 0.05
75 1.8306 1.4436 0 1.0000 6.069 0.01 -6.27 1.63 1.54 0.08
76 2.1216 1.4134 0 1.0000 5.965 0.01 -6.19 1.71 1.54 0.16
77 1.1932 0.5596 0 1.0000 5.871 -0.00 -6.12 1.80 1.54 0.26
78 0.9457 0.1586 0 1.0000 5.797 -0.02 -6.06 1.91 1.54 0.37
79 1.2640 0.6085 0 1.0000 5.705 0.02 -5.96 1.86 1.54 0.31
80 2.5725 1.8495 0 1.0000 5.605 0.08 -5.86 1.78 1.55 0.23
81 0.2105 -0.6861 0 1.0000 5.525 0.12 -5.78 1.76 1.56 0.20
82 1.1930 -0.4148 0 1.0000 5.544 0.11 -5.80 1.76 1.56 0.20
83 0.8351 -0.7127 0 1.0000 5.542 0.11 -5.80 1.76 1.56 0.20
84 0.9016 -0.6903 0 1.0000 5.542 0.11 -5.80 1.76 1.56 0.20
85 0.9601 -0.7052 0 1.0000 5.542 0.11 -5.80 1.76 1.56 0.20
86 0.7371 -0.8807 0 1.0000 5.542 0.11 -5.80 1.76 1.56 0.20
87 0.7337 -0.8909 0 1.0000 5.542 0.11 -5.80 1.76 1.56 0.20
88 0.6402 -0.9549 0 1.0000 5.542 0.11 -5.80 1.76 1.56 0.20
89 0.6246 -0.9767 0 1.0000 5.542 0.11 -5.80 1.76 1.56 0.20
