# step wm_danger det_logit danger fire dist_t dx dy yaw tbrg offaxis
0 0.8063 0.2226 0 0.0000 12.042 -11.66 0.00 0.00 0.00 0.00
1 -0.3364 0.3445 0 0.0000 12.041 -11.65 0.00 -0.00 -0.00 0.00
2 -0.1793 0.3616 0 0.0000 12.033 -11.65 0.00 -0.00 -0.00 0.00
3 -0.1067 0.4381 0 0.0000 12.013 -11.63 0.00 -0.00 -0.00 0.00
4 -0.1522 0.4383 0 0.0000 11.979 -11.59 0.00 -0.00 -0.00 0.00
5 -0.3921 0.3837 0 0.0000 11.931 -11.54 0.00 -0.00 -0.00 0.00
6 -1.0070 0.2998 0 0.0000 11.871 -11.49 0.00 -0.00 -0.00 0.00
7 -1.4003 0.2333 0 0.0000 11.804 -11.42 0.00 -0.00 -0.00 0.00
8 -1.5071 0.2367 0 0.0000 11.732 -11.35 0.00 -0.00 -0.00 0.00
9 -1.6411 0.2002 0 0.0000 11.655 -11.27 0.00 -0.00 -0.00 0.00
10 -1.6857 0.1319 0 0.0000 11.574 -11.19 0.00 0.00 -0.00 0.00
11 -1.5216 0.1250 0 0.0000 11.490 -11.10 0.00 0.00 -0.00 0.00
12 -1.4479 0.1114 0 0.0000 11.403 -11.02 0.00 0.00 -0.00 0.00
13 -1.3323 0.0861 0 0.0000 11.314 -10.93 0.00 -0.00 -0.00 0.00
14 -1.2421 0.0442 0 0.0000 11.224 -10.84 0.00 -0.00 -0.00 0.00
15 -1.1116 0.0488 0 0.0000 11.134 -10.75 0.00 -0.00 -0.00 0.00
16 -0.9513 0.0859 0 0.0000 11.047 -10.66 0.00 -0.00 -0.00 0.00
17 -0.8883 -0.0106 0 0.0000 10.964 -10.58 0.01 -0.00 -0.00 0.00
18 -0.7765 -0.0495 0 0.0000 10.884 -10.49 0.01 -0.00 -0.00 0.00
19 -0.6739 -0.0703 0 0.0000 10.805 -10.42 0.01 -0.00 -0.00 0.00
20 -0.5841 -0.0937 0 0.0000 10.725 -10.34 0.01 -0.00 -0.00 0.00
21 -0.4558 -0.0773 0 0.0000 10.645 -10.25 0.01 -0.01 -0.00 0.01
22 -0.3719 -0.0751 0 0.0000 10.562 -10.17 0.01 -0.01 -0.00 0.01
23 -0.1425 -0.0536 0 0.0000 10.477 -10.09 0.01 -0.01 -0.00 0.01
24 -0.0074 -0.0481 0 0.0000 10.391 -10.00 0.01 -0.01 -0.00 0.01
25 0.0649 -0.0514 0 0.0000 10.303 -9.91 0.01 -0.01 -0.00 0.01
26 0.2869 -0.0099 0 0.0000 10.214 -9.82 0.01 -0.01 -0.00 0.01
27 0.3845 -0.0349 0 0.0000 10.122 -9.73 0.01 -0.01 -0.00 0.01
28 0.6048 0.0029 0 0.0000 10.030 -9.64 0.01 -0.01 -0.00 0.01
29 0.7337 0.0675 0 0.0000 9.939 -9.55 0.01 -0.01 -0.00 0.01
30 0.8310 0.0608 0 0.0000 9.848 -9.45 0.01 -0.01 -0.00 0.01
31 1.0374 0.1042 0 0.0000 9.757 -9.36 0.01 -0.01 -0.00 0.01
32 1.5897 0.3765 0 0.0000 9.667 -9.27 0.01 -0.01 -0.00 0.01
33 1.4868 0.4316 0 0.0000 9.580 -9.18 0.01 -0.01 -0.00 0.01
34 1.3871 0.4322 0 0.0000 9.494 -9.10 0.01 -0.02 -0.00 0.01
35 1.5645 0.5614 0 0.0000 9.409 -9.01 0.01 -0.02 -0.00 0.01
